調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
2016年度,茨城県 水戸市,***,7727,***,***,***,***
2016年度,茨城県 日立市,***,3190,***,***,***,***
2016年度,茨城県 土浦市,***,3227,***,***,***,***
2016年度,茨城県 古河市,***,2405,***,***,***,***
2016年度,茨城県 石岡市,***,1516,***,***,***,***
2016年度,茨城県 結城市,***,662,***,***,***,***
2016年度,茨城県 龍ケ崎市,***,1571,***,***,***,***
2016年度,茨城県 下妻市,***,834,***,***,***,***
2016年度,茨城県 常総市,***,1327,***,***,***,***
2016年度,茨城県 常陸太田市,***,1068,***,***,***,***
2016年度,茨城県 高萩市,***,581,***,***,***,***
2016年度,茨城県 北茨城市,***,684,***,***,***,***
2016年度,茨城県 笠間市,***,1846,***,***,***,***
2016年度,茨城県 取手市,***,1305,***,***,***,***
2016年度,茨城県 牛久市,***,1414,***,***,***,***
2016年度,茨城県 つくば市,***,4177,***,***,***,***
2016年度,茨城県 ひたちなか市,***,3103,***,***,***,***
2016年度,茨城県 鹿嶋市,***,1257,***,***,***,***
2016年度,茨城県 潮来市,***,599,***,***,***,***
2016年度,茨城県 守谷市,***,1164,***,***,***,***
2016年度,茨城県 常陸大宮市,***,1219,***,***,***,***
2016年度,茨城県 那珂市,***,794,***,***,***,***
2016年度,茨城県 筑西市,***,1624,***,***,***,***
2016年度,茨城県 坂東市,***,953,***,***,***,***
2016年度,茨城県 稲敷市,***,1192,***,***,***,***
2016年度,茨城県 かすみがうら市,***,673,***,***,***,***
2016年度,茨城県 桜川市,***,600,***,***,***,***
2016年度,茨城県 神栖市,***,1455,***,***,***,***
2016年度,茨城県 行方市,***,725,***,***,***,***
2016年度,茨城県 鉾田市,***,619,***,***,***,***
2016年度,茨城県 つくばみらい市,***,876,***,***,***,***
2016年度,茨城県 小美玉市,***,867,***,***,***,***
2016年度,栃木県 宇都宮市,***,11532,***,***,***,***
2016年度,栃木県 足利市,***,3501,***,***,***,***
2016年度,栃木県 栃木市,***,3565,***,***,***,***
2016年度,栃木県 佐野市,***,3019,***,***,***,***
2016年度,栃木県 鹿沼市,***,1711,***,***,***,***
2016年度,栃木県 日光市,***,2063,***,***,***,***
2016年度,栃木県 小山市,***,3523,***,***,***,***
2016年度,栃木県 真岡市,***,1331,***,***,***,***
2016年度,栃木県 大田原市,***,1353,***,***,***,***
2016年度,栃木県 矢板市,***,713,***,***,***,***
2016年度,栃木県 那須塩原市,***,2719,***,***,***,***
2016年度,栃木県 さくら市,***,974,***,***,***,***
2016年度,栃木県 那須烏山市,***,541,***,***,***,***
2016年度,栃木県 下野市,***,850,***,***,***,***
2016年度,群馬県 前橋市,***,6404,***,***,***,***
2016年度,群馬県 高崎市,***,7782,***,***,***,***
2016年度,群馬県 桐生市,***,1828,***,***,***,***
2016年度,群馬県 伊勢崎市,***,3977,***,***,***,***
2016年度,群馬県 太田市,***,4285,***,***,***,***
2016年度,群馬県 沼田市,***,1246,***,***,***,***
2016年度,群馬県 館林市,***,1124,***,***,***,***
2016年度,群馬県 渋川市,***,1830,***,***,***,***
2016年度,群馬県 藤岡市,***,1220,***,***,***,***
2016年度,群馬県 富岡市,***,1057,***,***,***,***
2016年度,群馬県 安中市,***,1273,***,***,***,***
2016年度,群馬県 みどり市,***,1036,***,***,***,***
2016年度,埼玉県 さいたま市,***,23773,***,***,***,***
2016年度,埼玉県 川越市,***,5710,***,***,***,***
2016年度,埼玉県 熊谷市,***,3702,***,***,***,***
2016年度,埼玉県 川口市,***,8031,***,***,***,***
2016年度,埼玉県 行田市,***,1289,***,***,***,***
2016年度,埼玉県 秩父市,***,1310,***,***,***,***
2016年度,埼玉県 所沢市,***,5409,***,***,***,***
2016年度,埼玉県 飯能市,***,1639,***,***,***,***
2016年度,埼玉県 加須市,***,1321,***,***,***,***
2016年度,埼玉県 本庄市,***,1457,***,***,***,***
2016年度,埼玉県 東松山市,***,1855,***,***,***,***
2016年度,埼玉県 春日部市,***,3349,***,***,***,***
2016年度,埼玉県 狭山市,***,2112,***,***,***,***
2016年度,埼玉県 羽生市,***,940,***,***,***,***
2016年度,埼玉県 鴻巣市,***,1619,***,***,***,***
2016年度,埼玉県 深谷市,***,2059,***,***,***,***
2016年度,埼玉県 上尾市,***,3673,***,***,***,***
2016年度,埼玉県 草加市,***,3235,***,***,***,***
2016年度,埼玉県 越谷市,***,6768,***,***,***,***
2016年度,埼玉県 蕨市,***,1525,***,***,***,***
2016年度,埼玉県 戸田市,***,2252,***,***,***,***
2016年度,埼玉県 入間市,***,2519,***,***,***,***
2016年度,埼玉県 朝霞市,***,1897,***,***,***,***
2016年度,埼玉県 志木市,***,1120,***,***,***,***
2016年度,埼玉県 和光市,***,1007,***,***,***,***
2016年度,埼玉県 新座市,***,2276,***,***,***,***
2016年度,埼玉県 桶川市,***,974,***,***,***,***
2016年度,埼玉県 久喜市,***,2249,***,***,***,***
2016年度,埼玉県 北本市,***,1171,***,***,***,***
2016年度,埼玉県 八潮市,***,1244,***,***,***,***
2016年度,埼玉県 富士見市,***,1449,***,***,***,***
2016年度,埼玉県 三郷市,***,2222,***,***,***,***
2016年度,埼玉県 蓮田市,***,531,***,***,***,***
2016年度,埼玉県 坂戸市,***,1544,***,***,***,***
2016年度,埼玉県 幸手市,***,854,***,***,***,***
2016年度,埼玉県 鶴ヶ島市,***,1130,***,***,***,***
2016年度,埼玉県 日高市,***,1178,***,***,***,***
2016年度,埼玉県 吉川市,***,747,***,***,***,***
2016年度,埼玉県 ふじみ野市,***,1528,***,***,***,***
2016年度,埼玉県 白岡市,***,481,***,***,***,***
2016年度,千葉県 千葉市,***,18006,***,***,***,***
2016年度,千葉県 銚子市,***,1242,***,***,***,***
2016年度,千葉県 市川市,***,5735,***,***,***,***
2016年度,千葉県 船橋市,***,9167,***,***,***,***
2016年度,千葉県 館山市,***,968,***,***,***,***
2016年度,千葉県 木更津市,***,2451,***,***,***,***
2016年度,千葉県 松戸市,***,8128,***,***,***,***
2016年度,千葉県 野田市,***,2897,***,***,***,***
2016年度,千葉県 茂原市,***,1865,***,***,***,***
2016年度,千葉県 成田市,***,4053,***,***,***,***
2016年度,千葉県 佐倉市,***,2828,***,***,***,***
2016年度,千葉県 東金市,***,1647,***,***,***,***
2016年度,千葉県 旭市,***,1077,***,***,***,***
2016年度,千葉県 習志野市,***,2731,***,***,***,***
2016年度,千葉県 柏市,***,9013,***,***,***,***
2016年度,千葉県 勝浦市,***,357,***,***,***,***
2016年度,千葉県 市原市,***,5880,***,***,***,***
2016年度,千葉県 流山市,***,2183,***,***,***,***
2016年度,千葉県 八千代市,***,3040,***,***,***,***
2016年度,千葉県 我孫子市,***,1696,***,***,***,***
2016年度,千葉県 鴨川市,***,627,***,***,***,***
2016年度,千葉県 鎌ケ谷市,***,1533,***,***,***,***
2016年度,千葉県 君津市,***,2109,***,***,***,***
2016年度,千葉県 富津市,***,1177,***,***,***,***
2016年度,千葉県 浦安市,***,25391,***,***,***,***
2016年度,千葉県 四街道市,***,1188,***,***,***,***
2016年度,千葉県 袖ケ浦市,***,1110,***,***,***,***
2016年度,千葉県 八街市,***,914,***,***,***,***
2016年度,千葉県 印西市,***,1900,***,***,***,***
2016年度,千葉県 白井市,***,1048,***,***,***,***
2016年度,千葉県 富里市,***,990,***,***,***,***
2016年度,千葉県 南房総市,***,511,***,***,***,***
2016年度,千葉県 匝瑳市,***,498,***,***,***,***
2016年度,千葉県 香取市,***,1482,***,***,***,***
2016年度,千葉県 山武市,***,936,***,***,***,***
2016年度,千葉県 いすみ市,***,762,***,***,***,***
2016年度,千葉県 大網白里市,***,458,***,***,***,***
2016年度,東京都 特別区部,***,260498,***,***,***,***
2016年度,東京都 八王子市,***,9837,***,***,***,***
2016年度,東京都 立川市,***,5817,***,***,***,***
2016年度,東京都 武蔵野市,***,4571,***,***,***,***
2016年度,東京都 三鷹市,***,1721,***,***,***,***
2016年度,東京都 青梅市,***,2145,***,***,***,***
2016年度,東京都 府中市,***,5131,***,***,***,***
2016年度,東京都 昭島市,***,1825,***,***,***,***
2016年度,東京都 調布市,***,3793,***,***,***,***
2016年度,東京都 町田市,***,7665,***,***,***,***
2016年度,東京都 小金井市,***,1550,***,***,***,***
2016年度,東京都 小平市,***,2599,***,***,***,***
2016年度,東京都 日野市,***,1589,***,***,***,***
2016年度,東京都 東村山市,***,1890,***,***,***,***
2016年度,東京都 国分寺市,***,1534,***,***,***,***
2016年度,東京都 国立市,***,1135,***,***,***,***
2016年度,東京都 福生市,***,913,***,***,***,***
2016年度,東京都 狛江市,***,685,***,***,***,***
2016年度,東京都 東大和市,***,1145,***,***,***,***
2016年度,東京都 清瀬市,***,895,***,***,***,***
2016年度,東京都 東久留米市,***,1471,***,***,***,***
2016年度,東京都 武蔵村山市,***,1015,***,***,***,***
2016年度,東京都 多摩市,***,3642,***,***,***,***
2016年度,東京都 稲城市,***,2004,***,***,***,***
2016年度,東京都 羽村市,***,721,***,***,***,***
2016年度,東京都 あきる野市,***,1547,***,***,***,***
2016年度,東京都 西東京市,***,3059,***,***,***,***
2016年度,神奈川県 横浜市,***,62414,***,***,***,***
2016年度,神奈川県 川崎市,***,20298,***,***,***,***
2016年度,神奈川県 相模原市,***,12768,***,***,***,***
2016年度,神奈川県 横須賀市,***,6510,***,***,***,***
2016年度,神奈川県 平塚市,***,4582,***,***,***,***
2016年度,神奈川県 鎌倉市,***,2900,***,***,***,***
2016年度,神奈川県 藤沢市,***,7210,***,***,***,***
2016年度,神奈川県 小田原市,***,4265,***,***,***,***
2016年度,神奈川県 茅ヶ崎市,***,3249,***,***,***,***
2016年度,神奈川県 逗子市,***,1064,***,***,***,***
2016年度,神奈川県 三浦市,***,722,***,***,***,***
2016年度,神奈川県 秦野市,***,2372,***,***,***,***
2016年度,神奈川県 厚木市,***,5190,***,***,***,***
2016年度,神奈川県 大和市,***,3833,***,***,***,***
2016年度,神奈川県 伊勢原市,***,1392,***,***,***,***
2016年度,神奈川県 海老名市,***,2689,***,***,***,***
2016年度,神奈川県 座間市,***,1689,***,***,***,***
2016年度,神奈川県 南足柄市,***,326,***,***,***,***
2016年度,神奈川県 綾瀬市,***,1248,***,***,***,***
2016年度,新潟県 新潟市,***,16518,***,***,***,***
2016年度,新潟県 長岡市,***,5615,***,***,***,***
2016年度,新潟県 三条市,***,2037,***,***,***,***
2016年度,新潟県 柏崎市,***,1574,***,***,***,***
2016年度,新潟県 新発田市,***,2612,***,***,***,***
2016年度,新潟県 小千谷市,***,662,***,***,***,***
2016年度,新潟県 加茂市,***,379,***,***,***,***
2016年度,新潟県 十日町市,***,1357,***,***,***,***
2016年度,新潟県 見附市,***,679,***,***,***,***
2016年度,新潟県 村上市,***,992,***,***,***,***
2016年度,新潟県 燕市,***,1473,***,***,***,***
2016年度,新潟県 糸魚川市,***,796,***,***,***,***
2016年度,新潟県 妙高市,***,716,***,***,***,***
2016年度,新潟県 五泉市,***,809,***,***,***,***
2016年度,新潟県 上越市,***,3825,***,***,***,***
2016年度,新潟県 阿賀野市,***,881,***,***,***,***
2016年度,新潟県 佐渡市,***,1059,***,***,***,***
2016年度,新潟県 魚沼市,***,615,***,***,***,***
2016年度,新潟県 南魚沼市,***,1061,***,***,***,***
2016年度,新潟県 胎内市,***,614,***,***,***,***
2016年度,富山県 富山市,***,8800,***,***,***,***
2016年度,富山県 高岡市,***,3642,***,***,***,***
2016年度,富山県 魚津市,***,1451,***,***,***,***
2016年度,富山県 氷見市,***,691,***,***,***,***
2016年度,富山県 滑川市,***,375,***,***,***,***
2016年度,富山県 黒部市,***,472,***,***,***,***
2016年度,富山県 砺波市,***,1011,***,***,***,***
2016年度,富山県 小矢部市,***,453,***,***,***,***
2016年度,富山県 南砺市,***,729,***,***,***,***
2016年度,富山県 射水市,***,1613,***,***,***,***
2016年度,石川県 金沢市,***,10157,***,***,***,***
2016年度,石川県 七尾市,***,1171,***,***,***,***
2016年度,石川県 小松市,***,2148,***,***,***,***
2016年度,石川県 輪島市,***,357,***,***,***,***
2016年度,石川県 珠洲市,***,212,***,***,***,***
2016年度,石川県 加賀市,***,1480,***,***,***,***
2016年度,石川県 羽咋市,***,416,***,***,***,***
2016年度,石川県 かほく市,***,640,***,***,***,***
2016年度,石川県 白山市,***,1299,***,***,***,***
2016年度,石川県 能美市,***,618,***,***,***,***
2016年度,石川県 野々市市,***,1723,***,***,***,***
2016年度,福井県 福井市,***,6418,***,***,***,***
2016年度,福井県 敦賀市,***,1224,***,***,***,***
2016年度,福井県 小浜市,***,598,***,***,***,***
2016年度,福井県 大野市,***,605,***,***,***,***
2016年度,福井県 勝山市,***,317,***,***,***,***
2016年度,福井県 鯖江市,***,1069,***,***,***,***
2016年度,福井県 あわら市,***,564,***,***,***,***
2016年度,福井県 越前市,***,1276,***,***,***,***
2016年度,福井県 坂井市,***,1246,***,***,***,***
2016年度,山梨県 甲府市,***,3873,***,***,***,***
2016年度,山梨県 富士吉田市,***,1596,***,***,***,***
2016年度,山梨県 都留市,***,927,***,***,***,***
2016年度,山梨県 山梨市,***,566,***,***,***,***
2016年度,山梨県 大月市,***,352,***,***,***,***
2016年度,山梨県 韮崎市,***,502,***,***,***,***
2016年度,山梨県 南アルプス市,***,931,***,***,***,***
2016年度,山梨県 北杜市,***,838,***,***,***,***
2016年度,山梨県 甲斐市,***,1475,***,***,***,***
2016年度,山梨県 笛吹市,***,1655,***,***,***,***
2016年度,山梨県 上野原市,***,679,***,***,***,***
2016年度,山梨県 甲州市,***,475,***,***,***,***
2016年度,山梨県 中央市,***,413,***,***,***,***
2016年度,長野県 長野市,***,7441,***,***,***,***
2016年度,長野県 松本市,***,5025,***,***,***,***
2016年度,長野県 上田市,***,2706,***,***,***,***
2016年度,長野県 岡谷市,***,1060,***,***,***,***
2016年度,長野県 飯田市,***,2304,***,***,***,***
2016年度,長野県 諏訪市,***,1003,***,***,***,***
2016年度,長野県 須坂市,***,704,***,***,***,***
2016年度,長野県 小諸市,***,742,***,***,***,***
2016年度,長野県 伊那市,***,1473,***,***,***,***
2016年度,長野県 駒ヶ根市,***,553,***,***,***,***
2016年度,長野県 中野市,***,732,***,***,***,***
2016年度,長野県 大町市,***,615,***,***,***,***
2016年度,長野県 飯山市,***,368,***,***,***,***
2016年度,長野県 茅野市,***,1181,***,***,***,***
2016年度,長野県 塩尻市,***,1067,***,***,***,***
2016年度,長野県 佐久市,***,1828,***,***,***,***
2016年度,長野県 千曲市,***,924,***,***,***,***
2016年度,長野県 東御市,***,450,***,***,***,***
2016年度,長野県 安曇野市,***,1505,***,***,***,***
2016年度,岐阜県 岐阜市,***,8815,***,***,***,***
2016年度,岐阜県 大垣市,***,3219,***,***,***,***
2016年度,岐阜県 高山市,***,1951,***,***,***,***
2016年度,岐阜県 多治見市,***,2179,***,***,***,***
2016年度,岐阜県 関市,***,1802,***,***,***,***
2016年度,岐阜県 中津川市,***,1221,***,***,***,***
2016年度,岐阜県 美濃市,***,398,***,***,***,***
2016年度,岐阜県 瑞浪市,***,1248,***,***,***,***
2016年度,岐阜県 羽島市,***,1226,***,***,***,***
2016年度,岐阜県 恵那市,***,1311,***,***,***,***
2016年度,岐阜県 美濃加茂市,***,1310,***,***,***,***
2016年度,岐阜県 土岐市,***,905,***,***,***,***
2016年度,岐阜県 各務原市,***,2683,***,***,***,***
2016年度,岐阜県 可児市,***,2580,***,***,***,***
2016年度,岐阜県 山県市,***,414,***,***,***,***
2016年度,岐阜県 瑞穂市,***,641,***,***,***,***
2016年度,岐阜県 飛騨市,***,381,***,***,***,***
2016年度,岐阜県 本巣市,***,639,***,***,***,***
2016年度,岐阜県 郡上市,***,796,***,***,***,***
2016年度,岐阜県 下呂市,***,773,***,***,***,***
2016年度,岐阜県 海津市,***,441,***,***,***,***
2016年度,静岡県 静岡市,***,13354,***,***,***,***
2016年度,静岡県 浜松市,***,16244,***,***,***,***
2016年度,静岡県 沼津市,***,4383,***,***,***,***
2016年度,静岡県 熱海市,***,783,***,***,***,***
2016年度,静岡県 三島市,***,2103,***,***,***,***
2016年度,静岡県 富士宮市,***,2340,***,***,***,***
2016年度,静岡県 伊東市,***,1714,***,***,***,***
2016年度,静岡県 島田市,***,1863,***,***,***,***
2016年度,静岡県 富士市,***,4622,***,***,***,***
2016年度,静岡県 磐田市,***,2669,***,***,***,***
2016年度,静岡県 焼津市,***,2104,***,***,***,***
2016年度,静岡県 掛川市,***,2056,***,***,***,***
2016年度,静岡県 藤枝市,***,2369,***,***,***,***
2016年度,静岡県 御殿場市,***,2477,***,***,***,***
2016年度,静岡県 袋井市,***,1694,***,***,***,***
2016年度,静岡県 下田市,***,458,***,***,***,***
2016年度,静岡県 裾野市,***,1291,***,***,***,***
2016年度,静岡県 湖西市,***,726,***,***,***,***
2016年度,静岡県 伊豆市,***,1160,***,***,***,***
2016年度,静岡県 御前崎市,***,491,***,***,***,***
2016年度,静岡県 菊川市,***,623,***,***,***,***
2016年度,静岡県 伊豆の国市,***,878,***,***,***,***
2016年度,静岡県 牧之原市,***,676,***,***,***,***
2016年度,愛知県 名古屋市,***,59510,***,***,***,***
2016年度,愛知県 豊橋市,***,7522,***,***,***,***
2016年度,愛知県 岡崎市,***,6598,***,***,***,***
2016年度,愛知県 一宮市,***,6153,***,***,***,***
2016年度,愛知県 瀬戸市,***,3191,***,***,***,***
2016年度,愛知県 半田市,***,2204,***,***,***,***
2016年度,愛知県 春日井市,***,5691,***,***,***,***
2016年度,愛知県 豊川市,***,3577,***,***,***,***
2016年度,愛知県 津島市,***,1080,***,***,***,***
2016年度,愛知県 碧南市,***,885,***,***,***,***
2016年度,愛知県 刈谷市,***,2526,***,***,***,***
2016年度,愛知県 豊田市,***,7400,***,***,***,***
2016年度,愛知県 安城市,***,3292,***,***,***,***
2016年度,愛知県 西尾市,***,2688,***,***,***,***
2016年度,愛知県 蒲郡市,***,2116,***,***,***,***
2016年度,愛知県 犬山市,***,1222,***,***,***,***
2016年度,愛知県 常滑市,***,1225,***,***,***,***
2016年度,愛知県 江南市,***,1669,***,***,***,***
2016年度,愛知県 小牧市,***,2854,***,***,***,***
2016年度,愛知県 稲沢市,***,1820,***,***,***,***
2016年度,愛知県 新城市,***,909,***,***,***,***
2016年度,愛知県 東海市,***,1685,***,***,***,***
2016年度,愛知県 大府市,***,1615,***,***,***,***
2016年度,愛知県 知多市,***,990,***,***,***,***
2016年度,愛知県 知立市,***,858,***,***,***,***
2016年度,愛知県 尾張旭市,***,1336,***,***,***,***
2016年度,愛知県 高浜市,***,594,***,***,***,***
2016年度,愛知県 岩倉市,***,379,***,***,***,***
2016年度,愛知県 豊明市,***,1063,***,***,***,***
2016年度,愛知県 日進市,***,1145,***,***,***,***
2016年度,愛知県 田原市,***,786,***,***,***,***
2016年度,愛知県 愛西市,***,494,***,***,***,***
2016年度,愛知県 清須市,***,716,***,***,***,***
2016年度,愛知県 北名古屋市,***,1316,***,***,***,***
2016年度,愛知県 弥富市,***,634,***,***,***,***
2016年度,愛知県 みよし市,***,929,***,***,***,***
2016年度,愛知県 あま市,***,698,***,***,***,***
2016年度,愛知県 長久手市,***,954,***,***,***,***
2016年度,三重県 津市,***,5298,***,***,***,***
2016年度,三重県 四日市市,***,6459,***,***,***,***
2016年度,三重県 伊勢市,***,2222,***,***,***,***
2016年度,三重県 松阪市,***,2946,***,***,***,***
2016年度,三重県 桑名市,***,5986,***,***,***,***
2016年度,三重県 鈴鹿市,***,4436,***,***,***,***
2016年度,三重県 名張市,***,1589,***,***,***,***
2016年度,三重県 尾鷲市,***,306,***,***,***,***
2016年度,三重県 亀山市,***,885,***,***,***,***
2016年度,三重県 鳥羽市,***,258,***,***,***,***
2016年度,三重県 熊野市,***,276,***,***,***,***
2016年度,三重県 いなべ市,***,882,***,***,***,***
2016年度,三重県 志摩市,***,1390,***,***,***,***
2016年度,三重県 伊賀市,***,1428,***,***,***,***
2016年度,滋賀県 大津市,***,5701,***,***,***,***
2016年度,滋賀県 彦根市,***,2123,***,***,***,***
2016年度,滋賀県 長浜市,***,1720,***,***,***,***
2016年度,滋賀県 近江八幡市,***,1060,***,***,***,***
2016年度,滋賀県 草津市,***,2779,***,***,***,***
2016年度,滋賀県 守山市,***,1021,***,***,***,***
