調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
2010年度,群馬県 沼田市,***,***,***,18254,6001,222
2010年度,群馬県 館林市,***,***,***,21765,8522,5992
2010年度,群馬県 渋川市,***,***,***,26362,13075,476
2010年度,群馬県 藤岡市,***,***,***,19029,9941,3382
2010年度,群馬県 富岡市,***,***,***,17365,7700,324
2010年度,群馬県 安中市,***,***,***,17335,9872,707
2010年度,群馬県 みどり市,***,***,***,11542,12891,723
2010年度,埼玉県 さいたま市,***,***,***,187432,174434,183260
2010年度,埼玉県 川越市,***,***,***,71173,43442,31161
2010年度,埼玉県 熊谷市,***,***,***,54736,26930,11343
2010年度,埼玉県 川口市,***,***,***,110114,-,99861
2010年度,埼玉県 行田市,***,***,***,19557,17022,4340
2010年度,埼玉県 秩父市,***,***,***,22035,7018,676
2010年度,埼玉県 所沢市,***,***,***,61574,22064,60860
2010年度,埼玉県 飯能市,***,***,***,16821,12003,8980
2010年度,埼玉県 加須市,***,***,***,28601,19179,8608
2010年度,埼玉県 本庄市,***,***,***,20857,11553,5294
2010年度,埼玉県 東松山市,***,***,***,19565,17219,5190
2010年度,埼玉県 春日部市,***,***,***,40709,33318,30606
2010年度,埼玉県 狭山市,***,***,***,32525,20609,17548
2010年度,埼玉県 羽生市,***,***,***,14080,9265,2868
2010年度,埼玉県 鴻巣市,***,***,***,21405,23727,10198
2010年度,埼玉県 深谷市,***,***,***,39813,21886,5864
2010年度,埼玉県 上尾市,***,***,***,39260,38932,23521
2010年度,埼玉県 草加市,***,***,***,38330,18946,44857
2010年度,埼玉県 越谷市,***,***,***,59542,31716,50696
2010年度,埼玉県 蕨市,***,***,***,7979,9599,14169
2010年度,埼玉県 戸田市,***,***,***,21689,10740,24939
2010年度,埼玉県 入間市,***,***,***,28691,19338,20095
2010年度,埼玉県 朝霞市,***,***,***,18161,12654,26826
2010年度,埼玉県 志木市,***,***,***,8000,10175,13162
2010年度,埼玉県 和光市,***,***,***,10977,4317,23067
2010年度,埼玉県 新座市,***,***,***,24017,13621,33592
2010年度,埼玉県 桶川市,***,***,***,11005,15535,7422
2010年度,埼玉県 久喜市,***,***,***,28480,25976,16661
2010年度,埼玉県 北本市,***,***,***,9693,14492,6359
2010年度,埼玉県 八潮市,***,***,***,17927,6242,12958
2010年度,埼玉県 富士見市,***,***,***,12378,17660,17351
2010年度,埼玉県 三郷市,***,***,***,27759,10087,24256
2010年度,埼玉県 蓮田市,***,***,***,8704,12004,7625
2010年度,埼玉県 坂戸市,***,***,***,15995,21406,7304
2010年度,埼玉県 幸手市,***,***,***,8948,9148,6238
2010年度,埼玉県 鶴ヶ島市,***,***,***,9177,16685,6436
2010年度,埼玉県 日高市,***,***,***,10774,11764,3830
2010年度,埼玉県 吉川市,***,***,***,10821,10321,8804
2010年度,埼玉県 ふじみ野市,***,***,***,15298,16570,14642
2010年度,埼玉県 白岡市,***,***,***,6786,10394,6152
2010年度,千葉県 千葉市,***,***,***,149574,155519,97091
2010年度,千葉県 銚子市,***,***,***,24515,3920,4281
2010年度,千葉県 市川市,***,***,***,63591,29514,110503
2010年度,千葉県 船橋市,***,***,***,95134,60009,108968
2010年度,千葉県 館山市,***,***,***,17980,4453,273
2010年度,千葉県 木更津市,***,***,***,33450,21543,3593
2010年度,千葉県 松戸市,***,***,***,78974,34506,96229
2010年度,千葉県 野田市,***,***,***,39446,10548,20455
2010年度,千葉県 茂原市,***,***,***,23334,15880,2142
2010年度,千葉県 成田市,***,***,***,41339,15252,4070
2010年度,千葉県 佐倉市,***,***,***,27542,30829,17610
2010年度,千葉県 東金市,***,***,***,13692,12239,1630
2010年度,千葉県 旭市,***,***,***,24232,9572,1280
2010年度,千葉県 習志野市,***,***,***,22248,26299,27746
2010年度,千葉県 柏市,***,***,***,74811,33214,66965
2010年度,千葉県 勝浦市,***,***,***,5859,2939,93
2010年度,千葉県 市原市,***,***,***,73745,32876,9544
2010年度,千葉県 流山市,***,***,***,20106,20967,32351
2010年度,千葉県 八千代市,***,***,***,30778,26116,24325
2010年度,千葉県 我孫子市,***,***,***,16820,14258,23139
2010年度,千葉県 鴨川市,***,***,***,14490,2496,159
2010年度,千葉県 鎌ケ谷市,***,***,***,13251,19401,15057
2010年度,千葉県 君津市,***,***,***,25945,15339,1333
2010年度,千葉県 富津市,***,***,***,12044,10115,481
2010年度,千葉県 浦安市,***,***,***,25425,6521,42480
2010年度,千葉県 四街道市,***,***,***,11468,19263,6670
2010年度,千葉県 袖ケ浦市,***,***,***,12911,13373,1957
2010年度,千葉県 八街市,***,***,***,15314,17887,2501
2010年度,千葉県 印西市,***,***,***,16403,13552,11847
2010年度,千葉県 白井市,***,***,***,8378,10704,9050
2010年度,千葉県 富里市,***,***,***,9759,13690,1609
2010年度,千葉県 南房総市,***,***,***,13255,6894,265
2010年度,千葉県 匝瑳市,***,***,***,10449,7434,298
2010年度,千葉県 香取市,***,***,***,23520,10442,5057
2010年度,千葉県 山武市,***,***,***,12656,12527,1087
2010年度,千葉県 いすみ市,***,***,***,10172,7044,435
2010年度,千葉県 大網白里市,***,***,***,7139,11617,2992
2010年度,東京都 特別区部,***,***,***,1369337,1885169,252155
2010年度,東京都 八王子市,***,***,***,122649,90622,17263
2010年度,東京都 立川市,***,***,***,27580,39353,3522
2010年度,東京都 武蔵野市,***,***,***,17570,37007,2734
2010年度,東京都 三鷹市,***,***,***,23370,46116,2918
2010年度,東京都 青梅市,***,***,***,29705,25872,3088
2010年度,東京都 府中市,***,***,***,48005,56861,6166
2010年度,東京都 昭島市,***,***,***,19046,30000,2289
2010年度,東京都 調布市,***,***,***,29060,58018,4439
2010年度,東京都 町田市,***,***,***,62165,54269,50180
2010年度,東京都 小金井市,***,***,***,12149,33635,2202
2010年度,東京都 小平市,***,***,***,24012,44977,4146
2010年度,東京都 日野市,***,***,***,24549,45963,3878
2010年度,東京都 東村山市,***,***,***,18731,34823,6132
2010年度,東京都 国分寺市,***,***,***,11929,34585,3051
2010年度,東京都 国立市,***,***,***,8320,19214,1865
2010年度,東京都 福生市,***,***,***,7978,16297,1221
2010年度,東京都 狛江市,***,***,***,8185,21149,2909
2010年度,東京都 東大和市,***,***,***,11480,22324,2119
2010年度,東京都 清瀬市,***,***,***,9156,15948,5142
2010年度,東京都 東久留米市,***,***,***,16901,27897,4225
2010年度,東京都 武蔵村山市,***,***,***,12432,15951,1499
2010年度,東京都 多摩市,***,***,***,20275,33525,5306
2010年度,東京都 稲城市,***,***,***,9448,19958,6212
2010年度,東京都 羽村市,***,***,***,9336,15306,1210
2010年度,東京都 あきる野市,***,***,***,13623,18273,1150
2010年度,東京都 西東京市,***,***,***,21888,50726,4960
2010年度,神奈川県 横浜市,***,***,***,526090,659205,439288
2010年度,神奈川県 川崎市,***,***,***,188423,149025,262920
2010年度,神奈川県 相模原市,***,***,***,144465,86232,82166
2010年度,神奈川県 横須賀市,***,***,***,108734,48681,16213
2010年度,神奈川県 平塚市,***,***,***,74838,37244,10148
2010年度,神奈川県 鎌倉市,***,***,***,27359,24116,18585
2010年度,神奈川県 藤沢市,***,***,***,84664,65144,29893
2010年度,神奈川県 小田原市,***,***,***,59453,28715,6215
2010年度,神奈川県 茅ヶ崎市,***,***,***,40917,45210,16998
2010年度,神奈川県 逗子市,***,***,***,6970,11185,6211
2010年度,神奈川県 三浦市,***,***,***,11847,9260,1300
2010年度,神奈川県 秦野市,***,***,***,39109,29487,6004
2010年度,神奈川県 厚木市,***,***,***,64393,30561,8902
2010年度,神奈川県 大和市,***,***,***,36320,40867,19824
2010年度,神奈川県 伊勢原市,***,***,***,20604,23242,4099
2010年度,神奈川県 海老名市,***,***,***,19876,30015,8166
2010年度,神奈川県 座間市,***,***,***,16618,28545,10868
2010年度,神奈川県 南足柄市,***,***,***,8549,10932,966
2010年度,神奈川県 綾瀬市,***,***,***,14823,19346,3456
2010年度,新潟県 新潟市,***,***,***,232236,145321,972
2010年度,新潟県 長岡市,***,***,***,120951,16917,349
2010年度,新潟県 三条市,***,***,***,39587,11103,96
2010年度,新潟県 柏崎市,***,***,***,38993,4625,38
2010年度,新潟県 新発田市,***,***,***,33298,14464,108
2010年度,新潟県 小千谷市,***,***,***,14468,4919,34
2010年度,新潟県 加茂市,***,***,***,7839,6541,17
2010年度,新潟県 十日町市,***,***,***,26271,3518,93
2010年度,新潟県 見附市,***,***,***,10791,9438,46
2010年度,新潟県 村上市,***,***,***,26287,4560,247
2010年度,新潟県 燕市,***,***,***,29887,12109,48
2010年度,新潟県 糸魚川市,***,***,***,21570,1099,428
2010年度,新潟県 妙高市,***,***,***,11749,4818,376
2010年度,新潟県 五泉市,***,***,***,17800,8491,28
2010年度,新潟県 上越市,***,***,***,91097,7093,376
2010年度,新潟県 阿賀野市,***,***,***,13274,8825,39
2010年度,新潟県 佐渡市,***,***,***,31545,55,16
2010年度,新潟県 魚沼市,***,***,***,15998,3846,34
2010年度,新潟県 南魚沼市,***,***,***,26636,3821,154
2010年度,新潟県 胎内市,***,***,***,9818,5224,62
2010年度,富山県 富山市,***,***,***,184498,19425,1915
2010年度,富山県 高岡市,***,***,***,59707,24232,1282
2010年度,富山県 魚津市,***,***,***,14199,8202,91
2010年度,富山県 氷見市,***,***,***,15366,9064,279
2010年度,富山県 滑川市,***,***,***,7801,8832,106
2010年度,富山県 黒部市,***,***,***,14771,6375,62
2010年度,富山県 砺波市,***,***,***,14300,11118,432
2010年度,富山県 小矢部市,***,***,***,9360,5849,941
2010年度,富山県 南砺市,***,***,***,19973,7392,630
2010年度,富山県 射水市,***,***,***,24839,20660,550
2010年度,石川県 金沢市,***,***,***,183849,28377,3066
2010年度,石川県 七尾市,***,***,***,24555,3308,196
2010年度,石川県 小松市,***,***,***,39729,13460,464
2010年度,石川県 輪島市,***,***,***,12484,1068,35
2010年度,石川県 珠洲市,***,***,***,6622,767,24
2010年度,石川県 加賀市,***,***,***,28565,6120,900
2010年度,石川県 羽咋市,***,***,***,6556,3969,139
2010年度,石川県 かほく市,***,***,***,9514,7302,192
2010年度,石川県 白山市,***,***,***,30471,25087,492
2010年度,石川県 能美市,***,***,***,12024,11926,151
2010年度,石川県 野々市市,***,***,***,8549,16181,268
2010年度,福井県 福井市,***,***,***,110764,18179,1044
2010年度,福井県 敦賀市,***,***,***,29727,3096,454
2010年度,福井県 小浜市,***,***,***,12465,2820,172
2010年度,福井県 大野市,***,***,***,13657,4435,63
2010年度,福井県 勝山市,***,***,***,8683,3957,96
2010年度,福井県 鯖江市,***,***,***,19051,14117,170
2010年度,福井県 あわら市,***,***,***,8387,6437,606
2010年度,福井県 越前市,***,***,***,30385,11045,196
2010年度,福井県 坂井市,***,***,***,26323,19822,680
2010年度,山梨県 甲府市,***,***,***,63856,23001,985
2010年度,山梨県 富士吉田市,***,***,***,16779,7425,513
2010年度,山梨県 都留市,***,***,***,10370,4346,500
2010年度,山梨県 山梨市,***,***,***,9938,8009,286
2010年度,山梨県 大月市,***,***,***,6769,3368,2303
2010年度,山梨県 韮崎市,***,***,***,8335,6703,179
2010年度,山梨県 南アルプス市,***,***,***,19625,15844,267
2010年度,山梨県 北杜市,***,***,***,18133,4489,897
2010年度,山梨県 甲斐市,***,***,***,12931,22149,401
2010年度,山梨県 笛吹市,***,***,***,21302,13133,363
2010年度,山梨県 上野原市,***,***,***,7376,718,4223
2010年度,山梨県 甲州市,***,***,***,10883,6494,293
2010年度,山梨県 中央市,***,***,***,6288,8481,122
2010年度,長野県 長野市,***,***,***,168465,18560,1177
2010年度,長野県 松本市,***,***,***,100193,18928,365
2010年度,長野県 上田市,***,***,***,62404,12027,466
2010年度,長野県 岡谷市,***,***,***,16426,8356,88
2010年度,長野県 飯田市,***,***,***,47403,6095,236
2010年度,長野県 諏訪市,***,***,***,16424,8547,150
2010年度,長野県 須坂市,***,***,***,15283,10222,126
2010年度,長野県 小諸市,***,***,***,11581,8060,214
2010年度,長野県 伊那市,***,***,***,25539,9247,129
2010年度,長野県 駒ヶ根市,***,***,***,12158,4753,50
2010年度,長野県 中野市,***,***,***,17513,7224,75
2010年度,長野県 大町市,***,***,***,11080,3462,83
2010年度,長野県 飯山市,***,***,***,9146,2954,59
2010年度,長野県 茅野市,***,***,***,18810,8290,314
2010年度,長野県 塩尻市,***,***,***,22271,12850,108
2010年度,長野県 佐久市,***,***,***,36790,10566,505
2010年度,長野県 千曲市,***,***,***,18226,11429,45
2010年度,長野県 東御市,***,***,***,8024,7036,86
2010年度,長野県 安曇野市,***,***,***,30096,17186,208
2010年度,岐阜県 岐阜市,***,***,***,134562,39096,19607
2010年度,岐阜県 大垣市,***,***,***,48503,19965,6030
2010年度,岐阜県 高山市,***,***,***,46319,2563,168
2010年度,岐阜県 多治見市,***,***,***,28179,10147,15912
2010年度,岐阜県 関市,***,***,***,28939,14395,1722
2010年度,岐阜県 中津川市,***,***,***,31278,4668,1599
2010年度,岐阜県 美濃市,***,***,***,6586,4442,233
2010年度,岐阜県 瑞浪市,***,***,***,10188,6191,2343
2010年度,岐阜県 羽島市,***,***,***,14991,11199,5340
2010年度,岐阜県 恵那市,***,***,***,18294,6164,1636
2010年度,岐阜県 美濃加茂市,***,***,***,13680,10306,2450
2010年度,岐阜県 土岐市,***,***,***,16762,7812,4803
2010年度,岐阜県 各務原市,***,***,***,37599,16628,13525
2010年度,岐阜県 可児市,***,***,***,21474,12440,11467
2010年度,岐阜県 山県市,***,***,***,7342,6494,496
2010年度,岐阜県 瑞穂市,***,***,***,8434,13326,2766
2010年度,岐阜県 飛騨市,***,***,***,10214,2884,114
2010年度,岐阜県 本巣市,***,***,***,7260,8537,944
2010年度,岐阜県 郡上市,***,***,***,19589,1618,140
2010年度,岐阜県 下呂市,***,***,***,16120,1303,68
2010年度,岐阜県 海津市,***,***,***,10170,4318,4790
2010年度,静岡県 静岡市,***,***,***,254187,90303,2668
2010年度,静岡県 浜松市,***,***,***,233019,153508,4747
2010年度,静岡県 沼津市,***,***,***,72369,24017,1810
2010年度,静岡県 熱海市,***,***,***,13877,1606,2098
2010年度,静岡県 三島市,***,***,***,26896,24067,2536
2010年度,静岡県 富士宮市,***,***,***,46617,16460,707
2010年度,静岡県 伊東市,***,***,***,27089,3633,933
2010年度,静岡県 島田市,***,***,***,32978,18272,216
2010年度,静岡県 富士市,***,***,***,97819,23688,1435
2010年度,静岡県 磐田市,***,***,***,56397,28099,473
2010年度,静岡県 焼津市,***,***,***,44597,26474,438
2010年度,静岡県 掛川市,***,***,***,40130,19813,337
2010年度,静岡県 藤枝市,***,***,***,39175,31149,437
2010年度,静岡県 御殿場市,***,***,***,33955,11527,1900
2010年度,静岡県 袋井市,***,***,***,23590,19276,191
2010年度,静岡県 下田市,***,***,***,9867,1811,59
2010年度,静岡県 裾野市,***,***,***,16056,10743,509
2010年度,静岡県 湖西市,***,***,***,22621,4958,3374
2010年度,静岡県 伊豆市,***,***,***,11222,5457,177
2010年度,静岡県 御前崎市,***,***,***,12013,6421,56
2010年度,静岡県 菊川市,***,***,***,14121,11001,96
2010年度,静岡県 伊豆の国市,***,***,***,13433,10313,451
2010年度,静岡県 牧之原市,***,***,***,18063,8812,60
2010年度,愛知県 名古屋市,***,***,***,414735,567002,15453
2010年度,愛知県 豊橋市,***,***,***,141369,30311,8860
2010年度,愛知県 岡崎市,***,***,***,117479,62750,912
2010年度,愛知県 一宮市,***,***,***,96456,64776,11644
2010年度,愛知県 瀬戸市,***,***,***,30837,26950,1056
2010年度,愛知県 半田市,***,***,***,31064,25253,220
2010年度,愛知県 春日井市,***,***,***,73548,62164,3569
2010年度,愛知県 豊川市,***,***,***,63129,26294,1293
2010年度,愛知県 津島市,***,***,***,12443,16466,975
2010年度,愛知県 碧南市,***,***,***,22115,15257,82
2010年度,愛知県 刈谷市,***,***,***,40644,31837,473
2010年度,愛知県 豊田市,***,***,***,167156,38347,784
2010年度,愛知県 安城市,***,***,***,47086,38730,421
2010年度,愛知県 西尾市,***,***,***,46839,-,144
2010年度,愛知県 蒲郡市,***,***,***,27207,13418,276
2010年度,愛知県 犬山市,***,***,***,15713,15640,2871
2010年度,愛知県 常滑市,***,***,***,15347,11117,131
2010年度,愛知県 江南市,***,***,***,18286,24857,2523
2010年度,愛知県 小牧市,***,***,***,40358,26061,1682
2010年度,愛知県 稲沢市,***,***,***,32239,30975,2207
2010年度,愛知県 新城市,***,***,***,17985,6985,453
2010年度,愛知県 東海市,***,***,***,29317,23697,388
2010年度,愛知県 大府市,***,***,***,18947,23166,340
2010年度,愛知県 知多市,***,***,***,15033,25139,331
2010年度,愛知県 知立市,***,***,***,10053,21951,219
2010年度,愛知県 尾張旭市,***,***,***,12164,23614,557
2010年度,愛知県 高浜市,***,***,***,9325,11968,51
2010年度,愛知県 岩倉市,***,***,***,6729,15259,631
2010年度,愛知県 豊明市,***,***,***,12358,19290,248
2010年度,愛知県 日進市,***,***,***,12118,25750,434
2010年度,愛知県 田原市,***,***,***,32137,5309,224
2010年度,愛知県 愛西市,***,***,***,12065,18547,1312
2010年度,愛知県 清須市,***,***,***,10833,19369,731
2010年度,愛知県 北名古屋市,***,***,***,15632,22957,747
2010年度,愛知県 弥富市,***,***,***,8760,9799,1813
2010年度,愛知県 みよし市,***,***,***,11214,15438,154
2010年度,愛知県 あま市,***,***,***,14492,24616,910
2010年度,愛知県 長久手市,***,***,***,8063,16456,345
2010年度,三重県 津市,***,***,***,103273,23712,2972
2010年度,三重県 四日市市,***,***,***,108464,25753,9347
2010年度,三重県 伊勢市,***,***,***,44214,15151,510
2010年度,三重県 松阪市,***,***,***,54612,22618,1095
2010年度,三重県 桑名市,***,***,***,39596,14332,13329
2010年度,三重県 鈴鹿市,***,***,***,60000,27771,2709
2010年度,三重県 名張市,***,***,***,21743,8305,6861
2010年度,三重県 尾鷲市,***,***,***,7526,1148,85
2010年度,三重県 亀山市,***,***,***,14258,8714,542
2010年度,三重県 鳥羽市,***,***,***,8123,2414,44
2010年度,三重県 熊野市,***,***,***,6429,1052,447
2010年度,三重県 いなべ市,***,***,***,15091,7198,1032
2010年度,三重県 志摩市,***,***,***,20457,4212,241
2010年度,三重県 伊賀市,***,***,***,38093,4201,3134
2010年度,滋賀県 大津市,***,***,***,83101,24669,37835
2010年度,滋賀県 彦根市,***,***,***,33737,15929,1855
2010年度,滋賀県 長浜市,***,***,***,47407,8939,1402
2010年度,滋賀県 近江八幡市,***,***,***,18217,16974,2610
2010年度,滋賀県 草津市,***,***,***,29511,20279,9086
2010年度,滋賀県 守山市,***,***,***,15444,16761,3891
2010年度,滋賀県 栗東市,***,***,***,12921,13885,2983
2010年度,滋賀県 甲賀市,***,***,***,31506,10817,2283
2010年度,滋賀県 野洲市,***,***,***,10562,11000,2414
2010年度,滋賀県 湖南市,***,***,***,13205,12256,1429
2010年度,滋賀県 高島市,***,***,***,20394,2868,1646
2010年度,滋賀県 東近江市,***,***,***,33465,20050,1625
2010年度,滋賀県 米原市,***,***,***,8716,8357,1553
2010年度,京都府 京都市,***,***,***,299089,256176,59984
2010年度,京都府 福知山市,***,***,***,32823,3791,1472
2010年度,京都府 舞鶴市,***,***,***,35804,2762,1501
2010年度,京都府 綾部市,***,***,***,12276,3830,230
2010年度,京都府 宇治市,***,***,***,33070,35714,8047
2010年度,京都府 宮津市,***,***,***,6953,2124,66
2010年度,京都府 亀岡市,***,***,***,23922,15621,2705
2010年度,京都府 城陽市,***,***,***,12823,18244,3481
2010年度,京都府 向日市,***,***,***,6300,14065,4033
2010年度,京都府 長岡京市,***,***,***,12839,14456,8028
2010年度,京都府 八幡市,***,***,***,11347,8139,11789
2010年度,京都府 京田辺市,***,***,***,10030,9233,7997
2010年度,京都府 京丹後市,***,***,***,26031,1985,1299
2010年度,京都府 南丹市,***,***,***,10374,4983,383
2010年度,京都府 木津川市,***,***,***,9809,6262,13303
2010年度,大阪府 大阪市,***,***,***,425398,556662,51066
2010年度,大阪府 堺市,***,***,***,135527,188973,8714
2010年度,大阪府 岸和田市,***,***,***,39259,38262,1669
2010年度,大阪府 豊中市,***,***,***,63731,82771,13878
2010年度,大阪府 池田市,***,***,***,15767,20652,5900
2010年度,大阪府 吹田市,***,***,***,56793,82523,10560
2010年度,大阪府 泉大津市,***,***,***,11348,18802,758
2010年度,大阪府 高槻市,***,***,***,64742,61432,17983
2010年度,大阪府 貝塚市,***,***,***,15828,21295,758
2010年度,大阪府 守口市,***,***,***,23144,30262,2292
2010年度,大阪府 枚方市,***,***,***,75650,69646,19490
2010年度,大阪府 茨木市,***,***,***,48930,57663,10985
2010年度,大阪府 八尾市,***,***,***,55395,49378,3585
2010年度,大阪府 泉佐野市,***,***,***,21748,19666,1334
2010年度,大阪府 富田林市,***,***,***,17420,28333,1341
2010年度,大阪府 寝屋川市,***,***,***,39299,53400,5166
2010年度,大阪府 河内長野市,***,***,***,15580,26631,1393
2010年度,大阪府 松原市,***,***,***,21614,27475,1228
2010年度,大阪府 大東市,***,***,***,22251,28182,2231
2010年度,大阪府 和泉市,***,***,***,28223,43728,1682
2010年度,大阪府 箕面市,***,***,***,18891,30146,4187
2010年度,大阪府 柏原市,***,***,***,12052,18122,1741
2010年度,大阪府 羽曳野市,***,***,***,17236,28644,1518
2010年度,大阪府 門真市,***,***,***,22671,25782,1816
2010年度,大阪府 摂津市,***,***,***,16052,18040,2064
2010年度,大阪府 高石市,***,***,***,7499,15834,708
2010年度,大阪府 藤井寺市,***,***,***,8202,17143,923
2010年度,大阪府 東大阪市,***,***,***,119426,76625,7547
2010年度,大阪府 泉南市,***,***,***,10575,13454,1000
2010年度,大阪府 四條畷市,***,***,***,6459,14099,1814
2010年度,大阪府 交野市,***,***,***,9651,20148,2399
2010年度,大阪府 大阪狭山市,***,***,***,6866,15905,690
2010年度,大阪府 阪南市,***,***,***,7739,13584,1422
2010年度,兵庫県 神戸市,***,***,***,261964,296892,68956
2010年度,兵庫県 姫路市,***,***,***,189619,42272,4097
2010年度,兵庫県 尼崎市,***,***,***,99419,31068,57986
2010年度,兵庫県 明石市,***,***,***,52895,57077,7789
2010年度,兵庫県 西宮市,***,***,***,81755,53623,67239
2010年度,兵庫県 洲本市,***,***,***,16990,4461,180
2010年度,兵庫県 芦屋市,***,***,***,9292,15235,14080
2010年度,兵庫県 伊丹市,***,***,***,38319,24616,21635
2010年度,兵庫県 相生市,***,***,***,7135,5675,228
2010年度,兵庫県 豊岡市,***,***,***,37667,2711,807
2010年度,兵庫県 加古川市,***,***,***,57805,53418,4014
2010年度,兵庫県 赤穂市,***,***,***,15765,4689,1074
2010年度,兵庫県 西脇市,***,***,***,12503,7058,180
2010年度,兵庫県 宝塚市,***,***,***,30964,27955,31869
2010年度,兵庫県 三木市,***,***,***,20633,15632,917
2010年度,兵庫県 高砂市,***,***,***,20439,19702,1037
2010年度,兵庫県 川西市,***,***,***,20372,13788,27793
2010年度,兵庫県 小野市,***,***,***,12410,10435,219
2010年度,兵庫県 三田市,***,***,***,24260,16222,10347
2010年度,兵庫県 加西市,***,***,***,14537,7575,175
2010年度,兵庫県 丹波篠山市,***,***,***,15162,4479,1465
2010年度,兵庫県 養父市,***,***,***,8339,3083,157
2010年度,兵庫県 丹波市,***,***,***,26370,3714,2342
2010年度,兵庫県 南あわじ市,***,***,***,22259,4195,233
2010年度,兵庫県 朝来市,***,***,***,11650,2653,521
2010年度,兵庫県 淡路市,***,***,***,17118,4132,161
2010年度,兵庫県 宍粟市,***,***,***,15237,4338,94
2010年度,兵庫県 加東市,***,***,***,11699,7600,235
2010年度,兵庫県 たつの市,***,***,***,19864,15105,387
2010年度,奈良県 奈良市,***,***,***,78572,20425,51414
2010年度,奈良県 大和高田市,***,***,***,10418,11298,7215
2010年度,奈良県 大和郡山市,***,***,***,17058,11063,8985
2010年度,奈良県 天理市,***,***,***,17138,8732,2807
2010年度,奈良県 橿原市,***,***,***,21861,17554,10042
2010年度,奈良県 桜井市,***,***,***,11021,9724,3938
2010年度,奈良県 五條市,***,***,***,9827,3133,1895
2010年度,奈良県 御所市,***,***,***,5135,4417,1846
2010年度,奈良県 生駒市,***,***,***,13469,8149,27331
2010年度,奈良県 香芝市,***,***,***,8390,8247,12574
2010年度,奈良県 葛城市,***,***,***,5804,5758,3698
2010年度,奈良県 宇陀市,***,***,***,7463,4415,2613
2010年度,和歌山県 和歌山市,***,***,***,137552,10279,10002
2010年度,和歌山県 海南市,***,***,***,14721,8617,688
2010年度,和歌山県 橋本市,***,***,***,15984,3003,10809
2010年度,和歌山県 有田市,***,***,***,9307,4339,174
2010年度,和歌山県 御坊市,***,***,***,8410,2715,47
2010年度,和歌山県 田辺市,***,***,***,30440,5762,157
2010年度,和歌山県 新宮市,***,***,***,10952,1100,951
2010年度,和歌山県 紀の川市,***,***,***,17693,11409,1930
2010年度,和歌山県 岩出市,***,***,***,8344,11412,2918
2010年度,鳥取県 鳥取市,***,***,***,87132,4188,482
2010年度,鳥取県 米子市,***,***,***,55318,8676,3843
2010年度,鳥取県 倉吉市,***,***,***,19023,4510,276
2010年度,鳥取県 境港市,***,***,***,11032,4148,1180
2010年度,島根県 松江市,***,***,***,83439,-,2956
2010年度,島根県 浜田市,***,***,***,26832,1957,134
2010年度,島根県 出雲市,***,***,***,65382,-,378
2010年度,島根県 益田市,***,***,***,21616,1427,315
2010年度,島根県 大田市,***,***,***,15833,2015,58
2010年度,島根県 安来市,***,***,***,14997,3086,2437
2010年度,島根県 江津市,***,***,***,8621,2692,56
2010年度,島根県 雲南市,***,***,***,15626,5333,84
2010年度,岡山県 岡山市,***,***,***,208193,108304,3571
2010年度,岡山県 倉敷市,***,***,***,171992,38021,2449
2010年度,岡山県 津山市,***,***,***,39491,8413,230
2010年度,岡山県 玉野市,***,***,***,19728,8096,552
2010年度,岡山県 笠岡市,***,***,***,11834,5687,4932
2010年度,岡山県 井原市,***,***,***,13207,3308,2971
2010年度,岡山県 総社市,***,***,***,17093,13380,228
2010年度,岡山県 高梁市,***,***,***,13481,2307,83
2010年度,岡山県 新見市,***,***,***,13747,1189,468
2010年度,岡山県 備前市,***,***,***,10865,4657,761
2010年度,岡山県 瀬戸内市,***,***,***,9045,7805,174
2010年度,岡山県 赤磐市,***,***,***,9518,10577,184
2010年度,岡山県 真庭市,***,***,***,20575,2732,189
2010年度,岡山県 美作市,***,***,***,9682,3427,420
2010年度,岡山県 浅口市,***,***,***,6313,7916,922
2010年度,広島県 広島市,***,***,***,264788,261970,4217
2010年度,広島県 呉市,***,***,***,90854,15942,381
2010年度,広島県 竹原市,***,***,***,8591,3734,41
2010年度,広島県 三原市,***,***,***,36000,7395,269
2010年度,広島県 尾道市,***,***,***,53562,10944,913
2010年度,広島県 福山市,***,***,***,177471,14762,7933
2010年度,広島県 府中市,***,***,***,12940,5458,102
2010年度,広島県 三次市,***,***,***,24168,3423,104
2010年度,広島県 庄原市,***,***,***,16639,2224,138
2010年度,広島県 大竹市,***,***,***,7825,2813,2112
2010年度,広島県 東広島市,***,***,***,68571,19495,332
2010年度,広島県 廿日市市,***,***,***,28778,23750,1317
2010年度,広島県 安芸高田市,***,***,***,12303,3264,40
2010年度,広島県 江田島市,***,***,***,9797,2463,15
2010年度,山口県 下関市,***,***,***,115392,4682,6310
2010年度,山口県 宇部市,***,***,***,63880,13065,413
2010年度,山口県 山口市,***,***,***,76527,14507,630
2010年度,山口県 萩市,***,***,***,22785,2204,755
2010年度,山口県 防府市,***,***,***,44290,10435,334
2010年度,山口県 下松市,***,***,***,14703,9623,167
