area,year,inside,out_in,outside
北海道 音更町,2000年度,"11,219","8,629",11
北海道 士幌町,2000年度,"3,290",396,0
北海道 上士幌町,2000年度,"2,637",394,0
北海道 鹿追町,2000年度,"3,061",262,0
北海道 新得町,2000年度,"3,623",476,2
北海道 清水町,2000年度,"4,961",796,0
北海道 芽室町,2000年度,"6,675","2,563",5
北海道 中札内村,2000年度,"1,960",281,0
北海道 更別村,2000年度,"1,727",166,1
北海道 大樹町,2000年度,"3,547",190,0
北海道 広尾町,2000年度,"4,375",304,2
北海道 幕別町,2000年度,"8,245",-,8
北海道 池田町,2000年度,"3,699",785,0
北海道 豊頃町,2000年度,"2,061",219,1
北海道 本別町,2000年度,"5,061",396,1
北海道 足寄町,2000年度,"4,461",390,1
北海道 陸別町,2000年度,"1,539",79,2
北海道 浦幌町,2000年度,"3,269",279,2
北海道 釧路町,2000年度,"5,829","5,480",30
北海道 厚岸町,2000年度,"6,447",414,25
北海道 浜中町,2000年度,"4,357",135,0
北海道 標茶町,2000年度,"4,667",353,0
北海道 弟子屈町,2000年度,"4,911",180,7
北海道 鶴居村,2000年度,"1,178",178,0
北海道 白糠町,2000年度,"4,361","1,206",2
北海道 別海町,2000年度,"8,847",459,1
北海道 中標津町,2000年度,"11,516","1,152",3
北海道 標津町,2000年度,"3,096",378,0
北海道 羅臼町,2000年度,"3,937",62,0
青森県 青森市,2000年度,"144,967",-,591
青森県 弘前市,2000年度,"82,206",-,372
青森県 八戸市,2000年度,"111,940",-,"1,326"
青森県 黒石市,2000年度,"14,947","5,277",45
青森県 五所川原市,2000年度,"23,471",-,181
青森県 十和田市,2000年度,"29,953",-,107
青森県 三沢市,2000年度,"17,295","4,425",150
青森県 むつ市,2000年度,"27,190",-,275
青森県 つがる市,2000年度,"14,166",-,112
青森県 平川市,2000年度,"11,846",-,155
青森県 平内町,2000年度,"5,687","1,785",17
青森県 今別町,2000年度,"1,427",315,8
青森県 蓬田村,2000年度,"1,155",648,6
青森県 外ヶ浜町,2000年度,"3,361",-,9
青森県 鰺ヶ沢町,2000年度,"5,369",949,8
青森県 深浦町,2000年度,"4,688",-,102
青森県 西目屋村,2000年度,688,393,11
青森県 藤崎町,2000年度,"4,966",-,46
青森県 大鰐町,2000年度,"4,022","2,495",91
青森県 田舎館村,2000年度,"2,348","2,336",34
青森県 板柳町,2000年度,"6,647","2,667",8
青森県 鶴田町,2000年度,"5,789","2,409",20
青森県 中泊町,2000年度,"5,458",-,8
青森県 野辺地町,2000年度,"5,902","1,883",127
青森県 七戸町,2000年度,"6,542",-,14
青森県 六戸町,2000年度,"3,180","2,506",0
青森県 横浜町,2000年度,"2,180",594,60
青森県 東北町,2000年度,"7,294",-,83
青森県 六ヶ所村,2000年度,"6,547",326,2
青森県 おいらせ町,2000年度,"5,144",-,106
青森県 大間町,2000年度,"2,827",213,28
青森県 東通村,2000年度,"2,866",942,171
青森県 風間浦村,2000年度,923,341,9
青森県 佐井村,2000年度,"1,233",120,80
青森県 三戸町,2000年度,"5,385","1,301",329
青森県 五戸町,2000年度,"7,430",-,31
青森県 田子町,2000年度,"3,350",666,126
青森県 南部町,2000年度,"6,725",-,245
青森県 階上町,2000年度,"2,581","3,716",428
青森県 新郷村,2000年度,"1,629",366,3
岩手県 盛岡市,2000年度,"131,100",-,917
岩手県 宮古市,2000年度,"27,413",-,518
岩手県 大船渡市,2000年度,"19,668",-,315
岩手県 花巻市,2000年度,"42,327",-,149
岩手県 北上市,2000年度,"42,726","6,814",111
岩手県 久慈市,2000年度,"17,094",-,538
岩手県 遠野市,2000年度,"15,700",-,97
岩手県 一関市,2000年度,"56,773",-,"2,910"
岩手県 陸前高田市,2000年度,"9,559","2,348",743
岩手県 釜石市,2000年度,"19,962","1,317",143
岩手県 二戸市,2000年度,"14,897",-,544
岩手県 八幡平市,2000年度,"12,722",-,140
岩手県 奥州市,2000年度,"51,149",-,311
岩手県 滝沢市,2000年度,"11,452","15,437",99
岩手県 雫石町,2000年度,"7,370","3,526",60
岩手県 葛巻町,2000年度,"3,627",830,37
岩手県 岩手町,2000年度,"6,958","2,574",49
岩手県 紫波町,2000年度,"10,238","7,610",74
岩手県 矢巾町,2000年度,"6,981","6,756",50
岩手県 西和賀町,2000年度,"3,568",-,47
岩手県 金ケ崎町,2000年度,"5,850","3,247",31
岩手県 平泉町,2000年度,"2,654","2,193",44
岩手県 住田町,2000年度,"2,960",741,11
岩手県 大槌町,2000年度,"5,251","2,383",301
岩手県 山田町,2000年度,"7,732","2,033",337
岩手県 岩泉町,2000年度,"5,543",494,29
岩手県 田野畑村,2000年度,"1,711",313,55
岩手県 普代村,2000年度,"1,344",378,15
岩手県 軽米町,2000年度,"4,941",697,616
岩手県 野田村,2000年度,"1,513",763,75
岩手県 九戸村,2000年度,"3,106",813,113
岩手県 洋野町,2000年度,"6,053",-,"2,261"
岩手県 一戸町,2000年度,"6,894","1,763",78
宮城県 仙台市,2000年度,"253,251","224,521","5,173"
宮城県 仙台市 青葉区,2000年度,"94,515","32,173","1,384"
宮城県 仙台市 宮城野区,2000年度,"45,120","42,944",618
宮城県 仙台市 若林区,2000年度,"31,917","31,810",537
宮城県 仙台市 太白区,2000年度,"42,720","61,368","1,224"
宮城県 仙台市 泉区,2000年度,"38,979","56,226","1,410"
宮城県 石巻市,2000年度,"62,449",-,"1,750"
宮城県 塩竈市,2000年度,"15,230","14,654",260
宮城県 気仙沼市,2000年度,"33,246",-,"1,776"
宮城県 白石市,2000年度,"14,676","4,836",651
宮城県 名取市,2000年度,"14,238","18,091",289
宮城県 角田市,2000年度,"11,280","5,775",128
宮城県 多賀城市,2000年度,"12,112","18,641",184
宮城県 岩沼市,2000年度,"9,875","10,317",272
宮城県 登米市,2000年度,"27,289",-,593
宮城県 栗原市,2000年度,"25,503",-,"1,525"
宮城県 東松島市,2000年度,"9,988",-,300
宮城県 大崎市,2000年度,"46,014",-,383
宮城県 富谷市,2000年度,"4,568","13,183",120
宮城県 蔵王町,2000年度,"4,358","2,426",33
宮城県 七ヶ宿町,2000年度,762,147,39
宮城県 大河原町,2000年度,"4,972","6,283",90
宮城県 村田町,2000年度,"3,626","2,959",39
宮城県 柴田町,2000年度,"9,503","9,670",126
宮城県 川崎町,2000年度,"3,633","1,715",62
宮城県 丸森町,2000年度,"5,224","3,159",414
宮城県 亘理町,2000年度,"8,249","8,923",227
宮城県 山元町,2000年度,"4,526","4,096",345
宮城県 松島町,2000年度,"3,942","4,489",49
宮城県 七ヶ浜町,2000年度,"2,962","7,213",152
宮城県 利府町,2000年度,"4,833","9,489",102
宮城県 大和町,2000年度,"6,685","5,138",46
宮城県 大郷町,2000年度,"2,300","2,492",14
宮城県 大衡村,2000年度,"1,660","1,451",9
宮城県 色麻町,2000年度,"2,356","1,925",6
宮城県 加美町,2000年度,"8,684",-,34
宮城県 涌谷町,2000年度,"5,661","3,831",37
宮城県 美里町,2000年度,"6,432",-,70
宮城県 女川町,2000年度,"4,949","1,081",165
宮城県 南三陸町,2000年度,"7,301",-,440
秋田県 秋田市,2000年度,"148,851",-,721
秋田県 能代市,2000年度,"27,319",-,159
秋田県 横手市,2000年度,"39,285",-,356
秋田県 大館市,2000年度,"33,780",-,340
秋田県 男鹿市,2000年度,"13,060",-,50
秋田県 湯沢市,2000年度,"22,755",-,83
秋田県 鹿角市,2000年度,"17,600","1,720",343
秋田県 由利本荘市,2000年度,"33,199",-,215
秋田県 潟上市,2000年度,"7,800",-,75
秋田県 大仙市,2000年度,"33,211",-,157
秋田県 北秋田市,2000年度,"16,366",-,43
秋田県 にかほ市,2000年度,"10,780",-,262
秋田県 仙北市,2000年度,"12,529",-,198
秋田県 小坂町,2000年度,"2,467",710,102
秋田県 上小阿仁村,2000年度,"1,109",384,1
秋田県 藤里町,2000年度,"1,594",626,11
秋田県 三種町,2000年度,"7,377",-,9
秋田県 八峰町,2000年度,"3,115",-,43
秋田県 五城目町,2000年度,"3,679","2,317",11
秋田県 八郎潟町,2000年度,"1,896","1,822",8
秋田県 井川町,2000年度,"1,462","1,480",2
秋田県 大潟村,2000年度,"1,950",154,1
秋田県 美郷町,2000年度,"7,033",-,39
秋田県 羽後町,2000年度,"6,967","2,637",40
秋田県 東成瀬村,2000年度,995,662,7
山形県 山形市,2000年度,"114,774","13,489","1,139"
山形県 米沢市,2000年度,"45,087","3,158",218
山形県 鶴岡市,2000年度,"57,980",-,707
山形県 酒田市,2000年度,"51,725",-,171
山形県 新庄市,2000年度,"18,323","2,736",137
山形県 寒河江市,2000年度,"15,147","7,532",72
山形県 上山市,2000年度,"12,671","6,597",83
山形県 村山市,2000年度,"10,060","5,563",32
山形県 長井市,2000年度,"13,639","3,234",20
山形県 天童市,2000年度,"21,413","12,687",251
山形県 東根市,2000年度,"17,512","7,216",151
山形県 尾花沢市,2000年度,"9,234","2,600",37
山形県 南陽市,2000年度,"13,610","5,215",61
山形県 山辺町,2000年度,"3,488","4,335",47
山形県 中山町,2000年度,"2,672","3,988",31
山形県 河北町,2000年度,"6,557","4,700",33
山形県 西川町,2000年度,"2,410","1,340",5
山形県 朝日町,2000年度,"3,589","1,451",16
山形県 大江町,2000年度,"3,075","2,323",20
山形県 大石田町,2000年度,"2,914","2,086",8
山形県 金山町,2000年度,"2,492","1,137",40
山形県 最上町,2000年度,"4,625",820,219
山形県 舟形町,2000年度,"1,771","1,531",9
山形県 真室川町,2000年度,"3,405","1,679",57
山形県 大蔵村,2000年度,"1,523",793,1
山形県 鮭川村,2000年度,"1,885","1,134",6
山形県 戸沢村,2000年度,"1,863","1,197",7
山形県 高畠町,2000年度,"9,627","5,073",42
山形県 川西町,2000年度,"6,137","4,169",9
山形県 小国町,2000年度,"4,855",194,74
山形県 白鷹町,2000年度,"6,133","2,638",19
山形県 飯豊町,2000年度,"2,821","1,920",7
山形県 三川町,2000年度,"2,089","2,042",15
山形県 庄内町,2000年度,"6,873",-,23
山形県 遊佐町,2000年度,"5,499","3,694",171
福島県 福島市,2000年度,"132,979",-,"1,778"
福島県 会津若松市,2000年度,"54,868",-,199
福島県 郡山市,2000年度,"151,164","13,157","1,196"
福島県 いわき市,2000年度,"162,927","3,004","3,530"
福島県 白河市,2000年度,"21,954",-,"1,071"
福島県 須賀川市,2000年度,"26,463",-,86
福島県 喜多方市,2000年度,"20,521",-,58
福島県 相馬市,2000年度,"16,152","2,813",855
福島県 二本松市,2000年度,"20,702",-,131
福島県 田村市,2000年度,"16,381",-,92
福島県 南相馬市,2000年度,"27,562",-,442
福島県 伊達市,2000年度,"20,965",-,379
福島県 本宮市,2000年度,"9,196",-,57
福島県 桑折町,2000年度,"3,804","3,266",84
福島県 国見町,2000年度,"3,291","2,572",148
福島県 川俣町,2000年度,"6,388","2,502",48
福島県 大玉村,2000年度,"1,972","2,516",11
福島県 鏡石町,2000年度,"3,558","3,087",40
福島県 天栄村,2000年度,"1,770","1,733",28
福島県 下郷町,2000年度,"2,987",931,60
福島県 檜枝岐村,2000年度,477,10,0
福島県 只見町,2000年度,"2,741",187,7
福島県 南会津町,2000年度,"9,525",-,244
福島県 北塩原村,2000年度,"1,286",592,5
福島県 西会津町,2000年度,"4,029",659,101
福島県 磐梯町,2000年度,"1,262",814,1
福島県 猪苗代町,2000年度,"7,036","2,120",28
福島県 会津坂下町,2000年度,"6,930","3,190",26
福島県 湯川村,2000年度,914,"1,076",4
福島県 柳津町,2000年度,"1,760",713,7
福島県 三島町,2000年度,929,224,1
福島県 金山町,2000年度,"1,199",145,7
福島県 昭和村,2000年度,796,87,0
福島県 会津美里町,2000年度,"7,324",-,29
福島県 西郷村,2000年度,"5,378","3,267",453
福島県 泉崎村,2000年度,"1,856","1,530",45
福島県 中島村,2000年度,"1,412","1,236",27
福島県 矢吹町,2000年度,"6,277","3,404",51
福島県 棚倉町,2000年度,"6,103","2,265",94
福島県 矢祭町,2000年度,"2,555",667,378
福島県 塙町,2000年度,"4,051","1,538",104
福島県 鮫川村,2000年度,"1,552",832,25
福島県 石川町,2000年度,"7,310","2,818",34
福島県 玉川村,2000年度,"2,475","1,698",0
福島県 平田村,2000年度,"3,037","1,358",0
福島県 浅川町,2000年度,"2,293","1,556",26
福島県 古殿町,2000年度,"2,694",848,5
福島県 三春町,2000年度,"5,268","5,044",42
福島県 小野町,2000年度,"5,198","1,398",12
福島県 広野町,2000年度,"1,712","1,081",18
福島県 楢葉町,2000年度,"2,566","1,517",16
福島県 富岡町,2000年度,"5,152","2,978",40
福島県 川内村,2000年度,"1,185",489,8
福島県 大熊町,2000年度,"3,672","1,423",59
福島県 双葉町,2000年度,"1,814","1,806",36
福島県 浪江町,2000年度,"7,417","3,671",27
福島県 葛尾村,2000年度,619,283,8
福島県 新地町,2000年度,"2,495","1,464",628
福島県 飯舘村,2000年度,"2,945",806,11
茨城県 水戸市,2000年度,"97,536",-,"1,552"
