area,year,inside,out_in,outside
福岡県 嘉麻市,2000年度,"9,075",-,139
福岡県 朝倉市,2000年度,"21,227",-,691
福岡県 みやま市,2000年度,"11,964",-,717
福岡県 糸島市,2000年度,"20,095",-,858
福岡県 那珂川市,2000年度,"8,482","12,994",363
福岡県 宇美町,2000年度,"6,854","10,595",159
福岡県 篠栗町,2000年度,"4,973","8,806",105
福岡県 志免町,2000年度,"6,883","11,621",148
福岡県 須恵町,2000年度,"4,098","8,068",113
福岡県 新宮町,2000年度,"3,953","6,452",83
福岡県 久山町,2000年度,"1,568","2,075",23
福岡県 粕屋町,2000年度,"6,870","10,465",158
福岡県 芦屋町,2000年度,"3,533","3,540",28
福岡県 水巻町,2000年度,"4,104","9,398",135
福岡県 岡垣町,2000年度,"4,817","7,951",119
福岡県 遠賀町,2000年度,"3,109","5,956",65
福岡県 小竹町,2000年度,"1,345","2,705",19
福岡県 鞍手町,2000年度,"3,928","4,583",34
福岡県 桂川町,2000年度,"2,338","4,076",30
福岡県 筑前町,2000年度,"5,507",-,445
福岡県 東峰村,2000年度,975,-,125
福岡県 大刀洗町,2000年度,"3,324","3,853",427
福岡県 大木町,2000年度,"3,191","3,676",302
福岡県 広川町,2000年度,"4,749","4,600",259
福岡県 香春町,2000年度,"1,956","3,095",18
福岡県 添田町,2000年度,"2,750","2,454",14
福岡県 糸田町,2000年度,"1,418","2,536",20
福岡県 川崎町,2000年度,"4,019","3,464",23
福岡県 大任町,2000年度,889,"1,279",6
福岡県 赤村,2000年度,747,804,4
福岡県 福智町,2000年度,"4,211",-,33
福岡県 苅田町,2000年度,"9,207","6,288",152
福岡県 みやこ町,2000年度,"4,560",-,112
福岡県 吉富町,2000年度,"1,297",963,"1,051"
福岡県 上毛町,2000年度,"1,788",-,"1,011"
福岡県 築上町,2000年度,"4,890",-,381
佐賀県 佐賀市,2000年度,"82,917",-,"5,235"
佐賀県 唐津市,2000年度,"47,168",-,"3,125"
佐賀県 鳥栖市,2000年度,"18,279","3,928","7,178"
佐賀県 多久市,2000年度,"7,352","4,016",171
佐賀県 伊万里市,2000年度,"25,638","3,373","1,080"
佐賀県 武雄市,2000年度,"15,531",-,847
佐賀県 鹿島市,2000年度,"12,930","3,909",226
佐賀県 小城市,2000年度,"9,421",-,454
佐賀県 嬉野市,2000年度,"10,432",-,581
佐賀県 神埼市,2000年度,"7,492",-,"1,241"
佐賀県 吉野ヶ里町,2000年度,"3,512",-,611
佐賀県 基山町,2000年度,"3,451","1,732","3,620"
佐賀県 上峰町,2000年度,"1,512","2,198",540
佐賀県 みやき町,2000年度,"4,913",-,"3,174"
佐賀県 玄海町,2000年度,"2,793",878,61
佐賀県 有田町,2000年度,"6,996",-,988
佐賀県 大町町,2000年度,"1,794","1,943",59
佐賀県 江北町,2000年度,"2,451","2,150",84
佐賀県 白石町,2000年度,"9,152",-,178
佐賀県 太良町,2000年度,"4,461",880,547
長崎県 長崎市,2000年度,"183,454",-,"1,487"
長崎県 佐世保市,2000年度,"113,159",-,"2,150"
長崎県 島原市,2000年度,"19,939",-,146
長崎県 諫早市,2000年度,"44,454",-,509
長崎県 大村市,2000年度,"32,983","6,775",372
長崎県 平戸市,2000年度,"15,982",-,491
長崎県 松浦市,2000年度,"11,414",-,"1,025"
長崎県 対馬市,2000年度,"17,827",-,11
長崎県 壱岐市,2000年度,"13,026",-,101
長崎県 五島市,2000年度,"18,234",-,164
長崎県 西海市,2000年度,"13,014",-,61
長崎県 雲仙市,2000年度,"17,656",-,143
長崎県 南島原市,2000年度,"18,687",-,720
長崎県 長与町,2000年度,"6,011","12,303",118
長崎県 時津町,2000年度,"6,612","6,503",106
長崎県 東彼杵町,2000年度,"2,817","1,945",132
長崎県 川棚町,2000年度,"4,323","3,037",167
長崎県 波佐見町,2000年度,"5,683","1,762",558
長崎県 小値賀町,2000年度,"1,718",4,29
長崎県 佐々町,2000年度,"2,983","3,274",59
長崎県 新上五島町,2000年度,"8,281",-,346
熊本県 熊本市,2000年度,"294,751",-,"2,467"
熊本県 熊本市 中央区,2000年度,-,-,-
熊本県 熊本市 東区,2000年度,-,-,-
熊本県 熊本市 西区,2000年度,-,-,-
熊本県 熊本市 南区,2000年度,-,-,-
熊本県 熊本市 北区,2000年度,-,-,-
熊本県 八代市,2000年度,"55,472",-,272
熊本県 人吉市,2000年度,"15,816","3,007",170
熊本県 荒尾市,2000年度,"12,979","4,392","6,380"
熊本県 水俣市,2000年度,"12,367",682,761
熊本県 玉名市,2000年度,"21,757",-,974
熊本県 山鹿市,2000年度,"19,481",-,337
熊本県 菊池市,2000年度,"16,250",-,101
熊本県 宇土市,2000年度,"10,049","7,598",70
熊本県 上天草市,2000年度,"12,017",-,527
熊本県 宇城市,2000年度,"18,383",-,172
熊本県 阿蘇市,2000年度,"11,597",-,84
熊本県 天草市,2000年度,"38,667",-,352
熊本県 合志市,2000年度,"8,035",-,175
熊本県 美里町,2000年度,"3,678",-,27
熊本県 玉東町,2000年度,"1,538","1,415",42
熊本県 南関町,2000年度,"3,580","1,206","1,008"
熊本県 長洲町,2000年度,"4,670","2,637",882
熊本県 和水町,2000年度,"3,510",-,206
熊本県 大津町,2000年度,"8,199","5,399",59
熊本県 菊陽町,2000年度,"5,247","8,509",73
熊本県 南小国町,2000年度,"2,056",458,51
熊本県 小国町,2000年度,"4,053",474,138
熊本県 産山村,2000年度,865,151,43
熊本県 高森町,2000年度,"2,908",708,23
熊本県 西原村,2000年度,"1,854","1,208",11
熊本県 南阿蘇村,2000年度,"3,940",-,15
熊本県 御船町,2000年度,"4,486","4,349",26
熊本県 嘉島町,2000年度,"1,642","2,201",6
熊本県 益城町,2000年度,"7,140","8,230",75
熊本県 甲佐町,2000年度,"3,549","2,377",21
熊本県 山都町,2000年度,"9,004",-,66
熊本県 氷川町,2000年度,"3,781",-,25
熊本県 芦北町,2000年度,"7,877",-,71
熊本県 津奈木町,2000年度,"1,445","1,070",68
熊本県 錦町,2000年度,"3,844","2,232",50
熊本県 多良木町,2000年度,"4,515","1,704",57
熊本県 湯前町,2000年度,"1,639",848,44
熊本県 水上村,2000年度,913,406,5
熊本県 相良村,2000年度,"1,626","1,093",29
熊本県 五木村,2000年度,709,54,0
熊本県 山江村,2000年度,929,"1,141",18
熊本県 球磨村,2000年度,"1,322","1,086",14
熊本県 あさぎり町,2000年度,"5,067",-,69
熊本県 苓北町,2000年度,"3,907",551,27
大分県 大分市,2000年度,"197,699",-,"1,027"
大分県 別府市,2000年度,"45,267","12,771",217
大分県 中津市,2000年度,"29,830",-,"4,251"
大分県 日田市,2000年度,"33,703",-,"1,813"
大分県 佐伯市,2000年度,"30,057",-,254
大分県 臼杵市,2000年度,"15,747",-,102
大分県 津久見市,2000年度,"8,353","1,561",237
大分県 竹田市,2000年度,"12,822",-,134
大分県 豊後高田市,2000年度,"9,102",-,72
大分県 杵築市,2000年度,"11,590",-,55
大分県 宇佐市,2000年度,"22,196",-,655
大分県 豊後大野市,2000年度,"15,277",-,57
大分県 由布市,2000年度,"11,536",-,62
大分県 国東市,2000年度,"13,621",-,32
大分県 姫島村,2000年度,"1,277",90,10
大分県 日出町,2000年度,"6,891","5,463",53
大分県 九重町,2000年度,"4,974","1,201",32
大分県 玖珠町,2000年度,"8,355","1,527",82
宮崎県 宮崎市,2000年度,"158,553",-,531
宮崎県 都城市,2000年度,"66,418",-,"2,655"
宮崎県 延岡市,2000年度,"57,890",-,322
宮崎県 日南市,2000年度,"23,985",-,706
宮崎県 小林市,2000年度,"20,801",-,190
宮崎県 日向市,2000年度,"25,640",-,114
宮崎県 串間市,2000年度,"9,569",659,608
宮崎県 西都市,2000年度,"13,819","4,256",26
宮崎県 えびの市,2000年度,"10,488","1,169",572
宮崎県 三股町,2000年度,"5,087","5,985",237
宮崎県 高原町,2000年度,"3,803","1,831",74
宮崎県 国富町,2000年度,"7,327","4,010",28
宮崎県 綾町,2000年度,"2,619","1,253",11
宮崎県 高鍋町,2000年度,"6,720","3,967",29
宮崎県 新富町,2000年度,"6,212","3,691",20
宮崎県 西米良村,2000年度,813,11,12
宮崎県 木城町,2000年度,"1,891","1,082",5
宮崎県 川南町,2000年度,"6,772","2,332",31
宮崎県 都農町,2000年度,"4,280","1,954",60
宮崎県 門川町,2000年度,"5,114","3,922",54
宮崎県 諸塚村,2000年度,"1,172",44,6
宮崎県 椎葉村,2000年度,"1,963",35,6
宮崎県 美郷町,2000年度,"3,184",-,6
宮崎県 高千穂町,2000年度,"7,450",400,114
宮崎県 日之影町,2000年度,"2,227",523,13
宮崎県 五ヶ瀬町,2000年度,"1,981",290,176
鹿児島県 鹿児島市,2000年度,"251,680",-,808
鹿児島県 鹿屋市,2000年度,"40,587",-,134
鹿児島県 枕崎市,2000年度,"9,860","1,690",549
鹿児島県 阿久根市,2000年度,"9,987","2,248",66
鹿児島県 出水市,2000年度,"22,281",-,696
鹿児島県 指宿市,2000年度,"18,540",-,234
鹿児島県 西之表市,2000年度,"9,382",270,5
鹿児島県 垂水市,2000年度,"7,215","1,575",22
鹿児島県 薩摩川内市,2000年度,"40,603",-,117
鹿児島県 日置市,2000年度,"14,101",-,54
鹿児島県 曽於市,2000年度,"15,541",-,"3,236"
鹿児島県 霧島市,2000年度,"38,924",-,321
鹿児島県 いちき串木野市,2000年度,"10,297",-,343
鹿児島県 南さつま市,2000年度,"13,155",-,258
鹿児島県 志布志市,2000年度,"13,296",-,397
鹿児島県 奄美市,2000年度,"20,451",-,12
鹿児島県 南九州市,2000年度,"16,490",-,149
鹿児島県 伊佐市,2000年度,"12,827",-,103
鹿児島県 姶良市,2000年度,"17,217",-,152
鹿児島県 三島村,2000年度,257,1,0
鹿児島県 十島村,2000年度,403,1,1
鹿児島県 さつま町,2000年度,"10,324",-,33
鹿児島県 長島町,2000年度,"5,523",-,17
鹿児島県 湧水町,2000年度,"4,287",-,275
鹿児島県 大崎町,2000年度,"5,700","2,360",44
鹿児島県 東串良町,2000年度,"2,507","1,125",7
鹿児島県 錦江町,2000年度,"4,123",-,10
鹿児島県 南大隅町,2000年度,"4,185",-,10
鹿児島県 肝付町,2000年度,"6,216",-,22
鹿児島県 中種子町,2000年度,"4,846",396,5
鹿児島県 南種子町,2000年度,"3,598",195,4
鹿児島県 屋久島町,2000年度,"6,283",-,7
鹿児島県 大和村,2000年度,614,254,2
鹿児島県 宇検村,2000年度,793,43,1
鹿児島県 瀬戸内町,2000年度,"4,512",54,1
鹿児島県 龍郷町,2000年度,"1,592",829,2
鹿児島県 喜界町,2000年度,"4,087",1,5
鹿児島県 徳之島町,2000年度,"5,144",340,2
鹿児島県 天城町,2000年度,"2,740",250,0
鹿児島県 伊仙町,2000年度,"2,605",564,0
鹿児島県 和泊町,2000年度,"3,767",181,1
鹿児島県 知名町,2000年度,"3,214",274,0
鹿児島県 与論町,2000年度,"3,037",5,0
沖縄県 那覇市,2000年度,"97,471","27,713",118
沖縄県 宜野湾市,2000年度,"15,099","20,583",44
沖縄県 石垣市,2000年度,"19,734",69,2
沖縄県 浦添市,2000年度,"22,406","21,940",13
沖縄県 名護市,2000年度,"21,222","2,830",14
沖縄県 糸満市,2000年度,"13,244","9,223",17
沖縄県 沖縄市,2000年度,"27,787","19,701",20
沖縄県 豊見城市,2000年度,"7,516","14,299",16
沖縄県 うるま市,2000年度,"21,011",-,64
沖縄県 宮古島市,2000年度,"22,613",-,19
沖縄県 南城市,2000年度,"6,623",-,15
沖縄県 国頭村,2000年度,"2,304",239,1
沖縄県 大宜味村,2000年度,942,286,0
沖縄県 東村,2000年度,764,168,5
沖縄県 今帰仁村,2000年度,"2,852","1,113",1
沖縄県 本部町,2000年度,"5,013","1,171",1
沖縄県 恩納村,2000年度,"2,859","1,509",16
沖縄県 宜野座村,2000年度,"1,316",850,0
沖縄県 金武町,2000年度,"2,427","1,301",2
沖縄県 伊江村,2000年度,"2,552",2,0
沖縄県 読谷村,2000年度,"6,917","7,931",15
沖縄県 嘉手納町,2000年度,"2,271","2,994",12
沖縄県 北谷町,2000年度,"4,122","6,174",19
沖縄県 北中城村,2000年度,"1,868","4,523",0
沖縄県 中城村,2000年度,"2,287","3,994",4
沖縄県 西原町,2000年度,"5,229","8,473",15
沖縄県 与那原町,2000年度,"2,126","4,403",12
沖縄県 南風原町,2000年度,"5,197","8,781",1
沖縄県 渡嘉敷村,2000年度,387,0,0
沖縄県 座間味村,2000年度,535,0,0
沖縄県 粟国村,2000年度,364,2,0
沖縄県 渡名喜村,2000年度,297,0,0
沖縄県 南大東村,2000年度,913,0,0
沖縄県 北大東村,2000年度,457,0,0
沖縄県 伊平屋村,2000年度,701,0,0
沖縄県 伊是名村,2000年度,817,2,0
沖縄県 久米島町,2000年度,"3,520",-,0
沖縄県 八重瀬町,2000年度,"3,974",-,2
沖縄県 多良間村,2000年度,714,0,1
沖縄県 竹富町,2000年度,"2,026",10,0
沖縄県 与那国町,2000年度,981,1,1
北海道 札幌市,2005年度,"381,860","456,499","2,273"
北海道 札幌市 中央区,2005年度,"63,120","24,632",325
北海道 札幌市 北区,2005年度,"53,697","66,650",383
北海道 札幌市 東区,2005年度,"55,924","58,890",315
北海道 札幌市 白石区,2005年度,"42,586","49,564",270
北海道 札幌市 豊平区,2005年度,"35,791","59,849",281
北海道 札幌市 南区,2005年度,"30,426","36,308",43
北海道 札幌市 西区,2005年度,"40,646","53,069",289
北海道 札幌市 厚別区,2005年度,"19,661","36,470",122
北海道 札幌市 手稲区,2005年度,"22,470","38,574",239
北海道 札幌市 清田区,2005年度,"17,539","32,493",6
北海道 函館市,2005年度,"122,460","7,464",16
北海道 小樽市,2005年度,"52,376","9,874",34
北海道 旭川市,2005年度,"153,721","8,226",191
北海道 室蘭市,2005年度,"37,458","4,478",68
北海道 釧路市,2005年度,"77,921",-,115
北海道 帯広市,2005年度,"72,386","9,855",70
北海道 北見市,2005年度,"54,990",-,16
北海道 夕張市,2005年度,"5,230",402,5
北海道 岩見沢市,2005年度,"31,522",-,51
北海道 網走市,2005年度,"19,098",973,21
北海道 留萌市,2005年度,"12,725",804,26
北海道 苫小牧市,2005年度,"72,969","5,541",183
北海道 稚内市,2005年度,"21,270",245,8
北海道 美唄市,2005年度,"10,461","2,100",19
北海道 芦別市,2005年度,"6,811","1,103",29
北海道 江別市,2005年度,"27,194","26,140",67
北海道 赤平市,2005年度,"4,336","1,255",11
北海道 紋別市,2005年度,"12,758",484,8
北海道 士別市,2005年度,"10,668",812,14
北海道 名寄市,2005年度,"14,439",-,10
北海道 三笠市,2005年度,"3,117","1,295",4
北海道 根室市,2005年度,"16,179",119,20
北海道 千歳市,2005年度,"38,414","6,348",81
北海道 滝川市,2005年度,"16,466","4,467",29
北海道 砂川市,2005年度,"6,138","2,571",20
北海道 歌志内市,2005年度,"1,100",790,4
北海道 深川市,2005年度,"10,913","1,339",3
北海道 富良野市,2005年度,"11,697","1,050",12
北海道 登別市,2005年度,"13,246","9,752",28
北海道 恵庭市,2005年度,"19,830","11,482",86
北海道 伊達市,2005年度,"12,595",-,14
北海道 北広島市,2005年度,"11,634","15,344",54
北海道 石狩市,2005年度,"14,736","13,536",42
北海道 北斗市,2005年度,"11,526",-,121
北海道 当別町,2005年度,"5,494","3,586",17
北海道 新篠津村,2005年度,"1,639",269,0
北海道 松前町,2005年度,"3,881",324,467
北海道 福島町,2005年度,"1,998",251,258
北海道 知内町,2005年度,"2,207",364,44
北海道 木古内町,2005年度,"1,840",619,73
北海道 七飯町,2005年度,"6,216","6,565",61
北海道 鹿部町,2005年度,"1,893",325,44
北海道 森町,2005年度,"8,492",851,30
北海道 八雲町,2005年度,"9,245",608,31
北海道 長万部町,2005年度,"2,898",222,4
北海道 江差町,2005年度,"3,989",579,9
北海道 上ノ国町,2005年度,"1,897",754,59
北海道 厚沢部町,2005年度,"2,032",395,0
北海道 乙部町,2005年度,"1,415",586,70
北海道 奥尻町,2005年度,"1,852",0,0
北海道 今金町,2005年度,"3,005",301,2
北海道 せたな町,2005年度,"4,662",388,6
北海道 島牧村,2005年度,776,121,0
北海道 寿都町,2005年度,"1,543",182,4
北海道 黒松内町,2005年度,"1,413",130,0
北海道 蘭越町,2005年度,"2,418",438,0
北海道 ニセコ町,2005年度,"1,924",521,6
北海道 真狩村,2005年度,"1,165",156,1
北海道 留寿都村,2005年度,"1,265",100,1
北海道 喜茂別町,2005年度,"1,145",330,1
北海道 京極町,2005年度,"1,647",318,0
北海道 倶知安町,2005年度,"7,683",906,4
北海道 共和町,2005年度,"2,454","1,355",4
北海道 岩内町,2005年度,"5,782","1,606",7
北海道 泊村,2005年度,845,180,0
北海道 神恵内村,2005年度,512,132,0
北海道 積丹町,2005年度,"1,207",281,0
北海道 古平町,2005年度,"1,744",320,2
北海道 仁木町,2005年度,"1,671",398,1
北海道 余市町,2005年度,"8,290","1,921",32
北海道 赤井川村,2005年度,675,79,0
北海道 南幌町,2005年度,"2,477","2,232",2
北海道 奈井江町,2005年度,"2,168",857,1
北海道 上砂川町,2005年度,778,738,2
北海道 由仁町,2005年度,"2,609",775,0
北海道 長沼町,2005年度,"4,992","1,661",11
北海道 栗山町,2005年度,"5,554","1,546",1
北海道 月形町,2005年度,"1,769",216,2
北海道 浦臼町,2005年度,"1,108",184,1
北海道 新十津川町,2005年度,"2,486","1,262",6
北海道 妹背牛町,2005年度,"1,552",441,4
北海道 秩父別町,2005年度,"1,191",340,0
北海道 雨竜町,2005年度,"1,225",316,4
北海道 北竜町,2005年度,"1,097",164,0
北海道 沼田町,2005年度,"1,779",296,1
北海道 鷹栖町,2005年度,"1,931","1,744",6
北海道 東神楽町,2005年度,"2,155","2,367",9
北海道 当麻町,2005年度,"2,434","1,381",1
北海道 比布町,2005年度,"1,559",760,4
北海道 愛別町,2005年度,"1,524",345,0
北海道 上川町,2005年度,"2,689",112,2
北海道 東川町,2005年度,"2,473","1,487",6
北海道 美瑛町,2005年度,"5,055",777,1
北海道 上富良野町,2005年度,"5,775",983,6
北海道 中富良野町,2005年度,"2,305",764,4
北海道 南富良野町,2005年度,"1,406",110,0
北海道 占冠村,2005年度,"1,112",55,0
北海道 和寒町,2005年度,"2,022",221,0
北海道 剣淵町,2005年度,"1,847",323,3
北海道 下川町,2005年度,"1,706",225,1
北海道 美深町,2005年度,"2,607",171,2
北海道 音威子府村,2005年度,444,31,2
北海道 中川町,2005年度,"1,038",47,0
北海道 幌加内町,2005年度,994,22,0
北海道 増毛町,2005年度,"2,216",505,13
北海道 小平町,2005年度,"1,710",364,5
北海道 苫前町,2005年度,"1,896",190,0
北海道 羽幌町,2005年度,"4,101",198,0
北海道 初山別村,2005年度,680,66,0
北海道 遠別町,2005年度,"1,706",85,0
北海道 天塩町,2005年度,"2,067",118,0
北海道 猿払村,2005年度,"1,619",43,0
北海道 浜頓別町,2005年度,"2,284",198,0
北海道 中頓別町,2005年度,953,114,0
北海道 枝幸町,2005年度,"4,772",-,7
北海道 豊富町,2005年度,"2,382",199,4
北海道 礼文町,2005年度,"2,241",0,1
北海道 利尻町,2005年度,"1,651",61,0
北海道 利尻富士町,2005年度,"1,939",69,0
北海道 幌延町,2005年度,"1,447",68,1
北海道 美幌町,2005年度,"9,624","1,888",8
北海道 津別町,2005年度,"2,491",416,1
北海道 斜里町,2005年度,"7,042",340,0
北海道 清里町,2005年度,"2,213",312,0
北海道 小清水町,2005年度,"2,710",375,0
北海道 訓子府町,2005年度,"2,536",713,3
北海道 置戸町,2005年度,"1,551",216,1
北海道 佐呂間町,2005年度,"3,273",138,0
北海道 遠軽町,2005年度,"9,929",991,6
北海道 湧別町,2005年度,"4,567",-,2
北海道 滝上町,2005年度,"1,443",85,0
北海道 興部町,2005年度,"2,248",249,0
北海道 西興部村,2005年度,554,45,0
北海道 雄武町,2005年度,"2,951",113,0
北海道 大空町,2005年度,"3,788",-,0
北海道 豊浦町,2005年度,"1,617",633,0
北海道 壮瞥町,2005年度,"1,254",391,1
北海道 白老町,2005年度,"7,111","1,657",4
北海道 厚真町,2005年度,"2,471",402,2
北海道 洞爺湖町,2005年度,"4,215",-,4
北海道 安平町,2005年度,"3,224",-,2
北海道 むかわ町,2005年度,"4,886",-,1
北海道 日高町,2005年度,"7,237",-,1
北海道 平取町,2005年度,"2,872",353,0
北海道 新冠町,2005年度,"2,495",617,6
北海道 浦河町,2005年度,"7,959",439,6
北海道 様似町,2005年度,"2,466",486,0
北海道 えりも町,2005年度,"3,286",111,0
北海道 新ひだか町,2005年度,"12,143",-,11
北海道 音更町,2005年度,"11,638","9,235",9
北海道 士幌町,2005年度,"3,160",460,0
北海道 上士幌町,2005年度,"2,400",379,1
北海道 鹿追町,2005年度,"2,917",306,1
北海道 新得町,2005年度,"3,123",441,0
北海道 清水町,2005年度,"4,486",827,0
北海道 芽室町,2005年度,"6,471","2,992",14
北海道 中札内村,2005年度,"1,838",317,5
北海道 更別村,2005年度,"1,642",201,1
北海道 大樹町,2005年度,"3,290",253,5
北海道 広尾町,2005年度,"3,912",332,3
北海道 幕別町,2005年度,"7,657",-,0
北海道 池田町,2005年度,"3,131",806,1
北海道 豊頃町,2005年度,"1,768",235,1
北海道 本別町,2005年度,"4,202",443,2
北海道 足寄町,2005年度,"3,951",346,0
北海道 陸別町,2005年度,"1,322",93,0
北海道 浦幌町,2005年度,"2,861",271,0
北海道 釧路町,2005年度,"5,919","4,846",31
北海道 厚岸町,2005年度,"5,952",416,16
北海道 浜中町,2005年度,"4,128",152,0
北海道 標茶町,2005年度,"4,371",340,0
北海道 弟子屈町,2005年度,"4,437",205,0
北海道 鶴居村,2005年度,"1,071",190,0
北海道 白糠町,2005年度,"3,836","1,141",2
北海道 別海町,2005年度,"8,638",540,0
北海道 中標津町,2005年度,"11,444","1,268",4
北海道 標津町,2005年度,"2,873",372,0
北海道 羅臼町,2005年度,"3,666",64,2
青森県 青森市,2005年度,"136,119","6,238",636
青森県 弘前市,2005年度,"77,500",-,815
青森県 八戸市,2005年度,"104,576","6,913","1,851"
青森県 黒石市,2005年度,"13,419","5,914",42
青森県 五所川原市,2005年度,"21,868","5,917",83
青森県 十和田市,2005年度,"29,750","4,784",170
青森県 三沢市,2005年度,"15,993","4,553",162
青森県 むつ市,2005年度,"26,644","1,915",273
青森県 つがる市,2005年度,"14,395","4,343",225
青森県 平川市,2005年度,"10,679",-,277
青森県 平内町,2005年度,"5,142","1,774",15
青森県 今別町,2005年度,"1,181",323,53
青森県 蓬田村,2005年度,"1,059",588,0
青森県 外ヶ浜町,2005年度,"2,817",663,115
青森県 鰺ヶ沢町,2005年度,"4,591","1,044",151
青森県 深浦町,2005年度,"4,255",418,97
青森県 西目屋村,2005年度,541,317,0
青森県 藤崎町,2005年度,"4,764","3,741",35
青森県 大鰐町,2005年度,"3,433","2,499",33
青森県 田舎館村,2005年度,"2,006","2,453",40
青森県 板柳町,2005年度,"5,941","2,803",46
青森県 鶴田町,2005年度,"5,176","2,545",49
青森県 中泊町,2005年度,"4,338","1,350",99
青森県 野辺地町,2005年度,"5,237","1,849",98
青森県 七戸町,2005年度,"6,383","2,603",93
青森県 六戸町,2005年度,"2,957","2,568",7
青森県 横浜町,2005年度,"1,904",567,56
青森県 東北町,2005年度,"6,886","3,047",77
青森県 六ヶ所村,2005年度,"5,825",335,36
青森県 おいらせ町,2005年度,"5,027",-,135
青森県 大間町,2005年度,"2,354",203,93
青森県 東通村,2005年度,"2,838",891,144
青森県 風間浦村,2005年度,847,318,47
青森県 佐井村,2005年度,993,141,34
青森県 三戸町,2005年度,"4,568","1,240",359
青森県 五戸町,2005年度,"7,032","3,405",17
青森県 田子町,2005年度,"3,046",613,122
青森県 南部町,2005年度,"6,008",-,222
青森県 階上町,2005年度,"2,422","4,010",403
青森県 新郷村,2005年度,"1,438",404,4
岩手県 盛岡市,2005年度,"124,091",-,636
岩手県 宮古市,2005年度,"26,652",-,281
岩手県 大船渡市,2005年度,"19,077","1,354",174
岩手県 花巻市,2005年度,"37,636",-,281
岩手県 北上市,2005年度,"40,634","7,724",137
岩手県 久慈市,2005年度,"15,976",-,565
岩手県 遠野市,2005年度,"14,502","1,522",66
岩手県 一関市,2005年度,"60,035",-,"2,592"
岩手県 陸前高田市,2005年度,"8,414","2,384",818
岩手県 釜石市,2005年度,"17,514","1,332",108
岩手県 二戸市,2005年度,"13,317",-,565
岩手県 八幡平市,2005年度,"12,756","3,656",111
岩手県 奥州市,2005年度,"45,747",-,314
岩手県 滝沢市,2005年度,"11,651","15,588",165
岩手県 雫石町,2005年度,"6,738","3,617",64
岩手県 葛巻町,2005年度,"3,195",678,20
岩手県 岩手町,2005年度,"6,049","2,464",37
岩手県 紫波町,2005年度,"9,475","8,256",97
岩手県 矢巾町,2005年度,"6,576","7,608",38
岩手県 西和賀町,2005年度,"3,160",-,44
岩手県 金ケ崎町,2005年度,"5,537","3,266",40
岩手県 平泉町,2005年度,"2,407","2,215",60
岩手県 住田町,2005年度,"2,469",830,36
岩手県 大槌町,2005年度,"4,855","2,217",200
岩手県 山田町,2005年度,"6,815","2,031",278
岩手県 岩泉町,2005年度,"4,952",406,41
岩手県 田野畑村,2005年度,"1,570",257,20
岩手県 普代村,2005年度,"1,182",374,8
岩手県 軽米町,2005年度,"4,292",733,510
岩手県 野田村,2005年度,"1,421",862,26
岩手県 九戸村,2005年度,"2,778",833,149
岩手県 洋野町,2005年度,"5,388",-,"2,048"
岩手県 一戸町,2005年度,"5,970","1,691",78
宮城県 仙台市,2005年度,"235,865","221,078","6,523"
宮城県 仙台市 青葉区,2005年度,"85,495","32,135","2,140"
宮城県 仙台市 宮城野区,2005年度,"43,326","42,161",998
宮城県 仙台市 若林区,2005年度,"28,499","31,843",653
宮城県 仙台市 太白区,2005年度,"39,393","59,510","1,553"
宮城県 仙台市 泉区,2005年度,"39,152","55,429","1,179"
宮城県 石巻市,2005年度,"65,501","10,299","1,609"
宮城県 塩竈市,2005年度,"12,892","14,527",96
宮城県 気仙沼市,2005年度,"29,557",-,"1,991"
宮城県 白石市,2005年度,"13,487","5,027",630
宮城県 名取市,2005年度,"13,815","18,098",408
宮城県 角田市,2005年度,"10,392","5,937",145
宮城県 多賀城市,2005年度,"11,766","18,708",261
宮城県 岩沼市,2005年度,"10,072","10,994",291
宮城県 登米市,2005年度,"35,626","7,302",670
宮城県 栗原市,2005年度,"32,163","5,759","1,450"
宮城県 東松島市,2005年度,"10,318","9,789",256
宮城県 大崎市,2005年度,"43,126",-,463
宮城県 富谷市,2005年度,"5,898","14,537",95
宮城県 蔵王町,2005年度,"3,913","2,618",54
宮城県 七ヶ宿町,2005年度,678,120,41
宮城県 大河原町,2005年度,"4,787","6,549",73
宮城県 村田町,2005年度,"3,258","3,058",37
宮城県 柴田町,2005年度,"8,782","9,703",82
宮城県 川崎町,2005年度,"3,362","1,829",68
宮城県 丸森町,2005年度,"4,598","3,137",384
宮城県 亘理町,2005年度,"8,161","9,110",181
宮城県 山元町,2005年度,"4,229","3,817",314
宮城県 松島町,2005年度,"3,547","4,240",42
宮城県 七ヶ浜町,2005年度,"2,669","7,344",143
宮城県 利府町,2005年度,"5,102","10,449",185
宮城県 大和町,2005年度,"6,544","5,430",85
宮城県 大郷町,2005年度,"2,311","2,412",10
宮城県 大衡村,2005年度,"1,444","1,451",13
宮城県 色麻町,2005年度,"2,179","1,947",8
宮城県 加美町,2005年度,"9,415","4,368",45
宮城県 涌谷町,2005年度,"4,977","3,849",28
宮城県 美里町,2005年度,"5,713",-,72
宮城県 女川町,2005年度,"4,048","1,119",144
宮城県 南三陸町,2005年度,"7,035","1,463",357
秋田県 秋田市,2005年度,"147,400","6,585",439
秋田県 能代市,2005年度,"25,089",-,129
秋田県 横手市,2005年度,"46,148","5,903",280
秋田県 大館市,2005年度,"36,183","2,328",261
